Value,Min,Avg,Max
   A,66.600875,12.65751225,5.533279414
   B,36.69040029,14.66340087,13.37117545
   C,89.72506114,7.809785871,1.465152989
   D,2.034034371,13.23301908,15.19110433
   E,18.26873624,8.568153874,8.272728829
   F,34,34.11666667,30.88333333
   G,12.61126302,21.07776325,24.2337993
   H,36.01819728,30.78438919,25.37375567
