Value,Min,Avg,Max
   A,66.600875,13.15751225,6.033279414
   B,36.69040029,15.19003955,14.03100752
   C,89.72506114,8.309785871,1.965152989
   D,2.034034371,19.43728865,34.22561745
   E,18.26873624,9.068153874,8.772728829
   F,34,32.95714286,33.04285714
   G,12.61126302,25.78613514,21.04185944
   H,26,4.854061782,4.583438218
