2015 Observed,2030 Baseline,2030 Net Zero,2030 Net Zero Mandates,2050 Baseline,2050 Net Zero,2050 Net Zero Mandates
20.79,22.417,24.718,24.833,26.308,30.021,31.154
19.31,20.744,22.921,23.032,25.429,28.988,30.229
18.49,20.585,22.721,22.83,25.261,28.759,29.987
18.6,20.562,22.74,22.848,25.3,28.769,30.004
18.72,20.62,22.72,22.828,25.307,28.752,29.997
18.75,20.463,22.561,22.668,25.221,28.668,29.939
18.68,20.184,22.289,22.395,24.92,28.377,29.643
18.34,21.629,24.358,24.465,27.601,31.752,33.014
18.81,21.448,24.251,24.359,27.5,31.765,33.07
19.8,21.985,24.934,25.043,28.243,32.71,34.052
20.55,22.494,25.579,25.689,28.928,33.558,34.859
21.03,22.907,25.994,26.104,29.304,34.063,35.32
19.74,22.38,25.69,25.799,29.246,34.112,35.364
18.4,21.899,25.324,25.432,28.965,33.929,35.128
17.91,21.776,25.437,25.543,28.986,34.183,35.311
17.43,21.205,24.786,24.889,28.094,33.116,34.182
17.44,21.101,24.488,24.591,27.745,32.518,33.532
17.45,21.073,24.408,24.511,27.63,32.32,33.282
17.95,21.208,24.463,24.567,27.498,32.085,32.954
18.44,21.362,24.536,24.641,27.46,31.955,32.765
19.96,22.253,25.108,25.216,27.839,32.297,33.056
21.48,23.575,26.396,26.51,28.34,32.813,33.55
21.97,24.163,26.996,27.114,28.892,33.422,34.267
21.46,23.32,25.944,26.062,26.902,30.767,31.15
19.94,21.266,23.487,23.6,25.397,29.005,30.123
18.63,20.314,22.43,22.539,24.781,28.249,29.437
18.63,20.512,22.593,22.7,24.96,28.369,29.557
18.87,20.69,22.76,22.866,25.115,28.498,29.685
19.05,20.689,22.739,22.844,25.145,28.505,29.696
19.03,20.515,22.563,22.668,25.034,28.396,29.61
18.86,20.172,22.225,22.33,24.666,28.036,29.248
18.42,21,23.663,23.767,26.643,30.678,31.936
18.48,20.709,23.456,23.562,26.477,30.634,31.946
19.21,20.945,23.842,23.948,26.942,31.304,32.683
19.99,21.544,24.574,24.681,27.641,32.17,33.516
20.58,22.292,25.21,25.317,28.143,32.807,34.103
19.31,21.564,24.824,24.93,28.099,32.87,34.163
17.98,21.109,24.482,24.588,27.841,32.708,33.949
17.47,21.014,24.623,24.727,27.915,33.013,34.179
16.94,20.566,24.098,24.201,27.27,32.266,33.433
16.94,20.493,23.834,23.937,26.952,31.699,32.815
16.93,20.48,23.768,23.87,26.825,31.487,32.558
17.42,20.661,23.871,23.973,26.741,31.301,32.28
17.9,20.866,23.994,24.098,26.747,31.213,32.132
19.36,21.499,24.575,24.682,27.14,31.569,32.438
20.8,22.661,25.44,25.552,27.628,32.068,32.92
21.22,23.179,25.967,26.083,28.172,32.667,33.634
20.8,22.44,25.027,25.144,26.079,29.891,30.867
19.37,20.869,23.07,23.18,25.218,28.799,29.906
18.79,20.727,22.869,22.977,25.212,28.656,29.786
19.28,21.157,23.213,23.32,25.456,28.845,29.963
19.54,21.244,23.29,23.396,25.525,28.888,29.998
19.64,21.187,23.214,23.32,25.483,28.822,29.936
19.57,20.985,23.012,23.118,25.318,28.663,29.798
19.34,20.593,22.624,22.729,24.911,28.263,29.395
18.72,20.961,23.587,23.691,26.467,30.482,31.79
18.8,20.662,23.377,23.482,26.399,30.545,31.912
19.06,20.882,23.75,23.856,26.84,31.197,32.632
19.46,21.085,24.094,24.201,27.187,31.714,33.173
19.96,21.509,24.463,24.57,27.539,32.204,33.652
18.64,20.979,24.218,24.324,27.415,32.188,33.66
17.31,20.525,23.88,23.985,27.227,32.101,33.51
16.88,20.443,24.032,24.136,27.279,32.384,33.724
16.44,20.103,23.666,23.769,26.818,31.835,33.144
16.52,20.093,23.464,23.566,26.579,31.349,32.585
16.56,20.109,23.425,23.527,26.477,31.162,32.348
17.06,20.29,23.526,23.629,26.388,30.969,32.06
17.52,20.451,23.605,23.709,26.344,30.831,31.861
18.96,21.039,24.14,24.246,26.684,31.131,32.111
20.41,22.201,24.988,25.1,27.158,31.615,32.576
20.88,22.774,25.569,25.685,27.701,32.211,33.277
20.77,22.468,25.085,25.202,25.984,29.841,30.623
19.71,21.055,23.288,23.4,25.109,28.716,29.846
18.8,20.25,22.372,22.481,24.735,28.203,29.339
18.47,20.191,22.277,22.384,24.636,28.043,29.168
18.34,20.166,22.239,22.346,24.585,27.966,29.087
18.38,20.113,22.168,22.274,24.542,27.898,29.028
18.27,19.905,21.958,22.063,24.384,27.743,28.895
18.08,19.539,21.596,21.701,23.99,27.357,28.507
17.96,20.359,23.01,23.114,25.858,29.884,31.207
18.68,20.315,23.051,23.156,25.916,30.068,31.451
19.36,20.798,23.684,23.79,26.638,30.996,32.427
19.76,21.239,24.078,24.185,27.064,31.588,33.036
20.19,21.807,24.718,24.825,27.404,32.059,33.476
18.89,20.947,24.157,24.263,27.294,32.056,33.475
17.54,20.43,23.791,23.895,27.013,31.874,33.243
17.06,20.327,23.923,24.027,27.062,32.159,33.46
16.57,20.275,23.843,23.946,27.024,32.05,33.296
16.61,20.212,23.591,23.693,26.728,31.511,32.705
16.63,20.201,23.528,23.63,26.608,31.309,32.463
17.15,20.381,23.631,23.734,26.528,31.13,32.191
17.65,20.559,23.729,23.832,26.511,31.021,32.024
19.19,21.205,24.326,24.433,26.951,31.43,32.371
20.72,22.544,25.344,25.457,27.474,31.967,32.885
21.24,23.181,25.996,26.113,28.059,32.61,33.634
20.97,22.685,25.316,25.434,26.267,30.157,30.999
19.83,21.232,23.489,23.603,25.472,29.119,30.255
18.96,20.53,22.686,22.796,25.272,28.781,29.923
18.77,20.576,22.693,22.802,25.159,28.604,29.734
18.69,20.561,22.664,22.772,25.061,28.48,29.609
18.64,20.449,22.532,22.64,24.975,28.37,29.504
18.56,20.264,22.346,22.452,24.844,28.24,29.396
18.45,19.973,22.06,22.166,24.533,27.935,29.091
18.27,20.676,23.36,23.465,26.313,30.377,31.704
18.71,20.648,23.421,23.527,26.419,30.617,32.006
19.45,21.074,23.997,24.104,27.044,31.45,32.914
19.95,21.588,24.455,24.563,27.599,32.176,33.64
20.45,22.185,25.149,25.258,27.96,32.674,34.115
19.14,21.369,24.581,24.688,27.902,32.725,34.171
17.79,20.814,24.222,24.328,27.628,32.551,33.948
17.33,20.724,24.367,24.472,27.68,32.837,34.154
15.08,17.915,20.541,20.62,23.065,26.749,27.515
14.94,17.788,20.258,20.335,22.749,26.225,26.943
14.77,17.683,20.094,20.171,22.549,25.936,26.615
14.92,17.711,20.055,20.131,22.401,25.695,26.3
15.06,17.734,20.009,20.085,22.278,25.482,26.048
15.92,18.081,20.296,20.373,22.453,25.602,26.127
16.79,18.578,20.642,20.72,22.736,25.866,26.369
17.33,19.161,21.065,21.145,23.244,26.433,27.013
17.27,18.844,20.603,20.682,21.555,24.258,24.374
16.51,17.762,19.253,19.33,20.155,22.717,23.461
15.81,16.798,18.128,18.203,19.813,22.294,23.075
15.21,16.272,17.653,17.726,19.413,21.836,22.631
14.81,15.997,17.359,17.431,19.181,21.572,22.368
14.36,15.759,17.109,17.18,18.933,21.3,22.102
14.19,15.485,16.835,16.906,18.694,21.057,21.875
14.36,15.336,16.699,16.77,18.549,20.922,21.738
14.88,17.17,19.039,19.113,21.228,24.093,24.934
16.47,18.007,19.945,20.02,22.14,25.098,25.926
17.58,18.782,20.593,20.669,22.852,25.954,26.798
17.9,19.275,21.107,21.183,23.249,26.47,27.313
18.14,19.616,21.625,21.702,23.503,26.817,27.64
17.19,19.069,21.287,21.365,23.54,26.965,27.789
16.24,18.433,20.872,20.951,23.424,26.954,27.745
15.72,18.267,20.945,21.024,23.413,27.123,27.872
15.14,17.807,20.382,20.46,22.778,26.425,27.173
14.84,17.557,19.973,20.049,22.307,25.747,26.472
