Value,Low,Min,Avg,Max,Low2,Min2,Avg2,Max2,Out
   A,41.00559758,7.554410301,3,8.251877426,0,0,0,0,10
   B,0,0,0,0,43.95876007,22.31917859,3,10.91433609,10
   C,46.97674796,4.997984453,3,7.835041843,0,0,0,0,10
   D,0,0,0,0,49.39736065,18.2626136,3,10.19656341,10
   E,29.00552486,6.788002695,3,3.510948148,0,0,0,0,10
   F,0,0,0,0,23.48401323,5.790670822,3,5.144160128,10
   G,3.933158473,24.02815361,3,28.79852993,0,0,0,0,10
   H,0,0,0,0,42.73818185,18.25192345,3,20.70532763,10
   I,23.36811189,2.611113903,3,1.710582559,0,0,0,0,10
   J,0,0,0,0,31.58289933,3.75530391,3,3.254437468,10
   L,13.38,9.430117178,3,6.539882822,0,0,0,0,10
   M,0,0,0,0,31.69823657,17.17904674,3,47.48271669,10
   N,22.35871148,-0.218944588,3,1.026833993,0,0,0,0,10
   O,0,0,0,0,23.14290515,0.426799638,3,-0.299704783,10
   P,10.66346089,8.133721823,3,8.878154874,0,0,0,0,10
   Q,0,0,0,0,10.83712066,11.55930451,3,6.770834847,10
