2015 Observed,2030 Baseline,2030 Net Zero,2030 Net Zero Mandates,2050 Baseline,2050 Net Zero,2050 Net Zero Mandates
17.973,20.695,22.39,22.563,26.7354,29.6573,32.5346
17.385,20.746,22.631,22.802,26.6163,29.7644,32.6537
16.808,19.79,21.74,21.893,26.1896,29.5721,32.487
16.124,18.96,20.913,21.046,25.553,29.2059,32.0962
15.518,18.581,20.738,20.852,25.2582,29.8313,32.6806
14.931,18.532,20.684,20.802,25.2335,29.4641,32.3882
14.425,18.381,20.395,20.512,24.8745,28.7244,31.6082
14.027,18.252,20.228,20.342,24.6191,28.3625,31.2008
13.742,18.303,20.223,20.348,24.4358,28.0168,30.8027
13.644,18.448,20.298,20.435,24.3826,27.7849,30.5242
13.761,19.127,20.914,21.069,24.7911,27.9979,30.6867
14.026,19.76,21.506,21.684,25.2371,28.3102,30.9816
14.303,20.384,22.086,22.292,25.8775,28.8852,31.5892
14.458,21.107,22.503,22.707,25.5905,27.4343,29.8225
14.958,21.106,22.358,22.537,25.4549,26.9645,29.2723
15.3,20.94,22.111,22.281,25.1701,26.5058,28.7214
15.605,20.619,21.761,21.927,24.7538,26.0447,28.1721
15.881,20.357,21.497,21.657,24.4552,25.733,27.821
15.997,20.271,21.402,21.56,24.3493,25.6116,27.6775
16.04,20.245,21.371,21.527,24.3371,25.6011,27.6561
16.101,20.151,21.275,21.435,24.2361,25.5206,27.5668
16.687,20.072,21.439,21.589,25.281,27.5554,29.9496
17.869,20.055,21.448,21.603,25.3879,27.7566,30.208
17.728,20.058,21.533,21.692,25.5673,28.1911,30.699
17.425,20.047,21.592,21.748,25.6454,28.5148,31.037
16.958,20.105,21.652,21.823,25.613,28.704,31.218
16.393,19.318,21.034,21.181,25.2479,28.5688,31.0876
15.624,18.729,20.536,20.673,24.84,28.4289,30.9085
14.788,18.512,20.501,20.628,24.7052,28.8037,31.2244
14.096,18.49,20.564,20.676,24.7778,28.8061,31.1065
13.682,18.31,20.249,20.36,24.4086,28.0611,30.3337
13.449,18.162,20.068,20.176,24.1674,27.7219,29.9712
13.374,18.248,20.103,20.224,24.0584,27.4599,29.682
13.457,18.409,20.209,20.342,24.0955,27.3377,29.5659
13.897,19.071,20.829,20.982,24.5934,27.6696,29.928
14.763,20.028,21.575,21.79,25.2134,28.1918,30.5383
15.607,20.763,22.382,22.593,25.8131,28.7779,31.3178
16.061,21.371,22.882,23.094,25.5979,27.5572,29.7844
16.209,21.218,22.394,22.592,25.3298,26.7684,28.978
16.052,20.919,21.951,22.128,25.0692,26.3274,28.4465
16.075,20.589,21.598,21.755,24.7147,25.9242,27.9727
16.042,20.392,21.399,21.549,24.4514,25.6387,27.6383
15.918,20.269,21.266,21.415,24.3072,25.4798,27.4626
16.026,20.215,21.212,21.359,24.2987,25.4851,27.4803
16.356,20.156,21.157,21.308,24.2838,25.5109,27.5314
17.269,20.238,21.248,21.406,25.1276,27.4055,29.7824
18.707,20.312,21.437,21.592,25.617,28.0298,30.5419
18.629,20.608,21.928,22.113,26.0382,28.734,31.3736
18.436,20.718,22.236,22.417,26.2094,29.1429,31.8372
18.243,20.803,22.513,22.691,26.3274,29.4948,32.2286
17.718,19.755,21.636,21.796,26.1153,29.5187,32.2907
16.837,19.097,21.116,21.249,25.7793,29.4542,32.2188
15.824,18.903,21.119,21.241,25.7189,29.9093,32.6665
15.063,15.461,17.34,17.453,20.5756,24.3928,26.8528
14.449,15.152,16.826,16.934,20.2097,23.3429,25.8357
14.097,15.008,16.466,16.567,19.9775,22.7929,25.2509
13.862,14.991,16.327,16.455,19.7752,22.4689,24.8649
13.822,14.981,16.255,16.387,19.5943,22.1499,24.4771
14.023,15.267,16.548,16.695,19.6225,22.0339,24.2923
14.471,15.839,17.011,17.185,19.7322,22.0418,24.2557
15.146,16.367,17.473,17.677,20.033,22.3029,24.5441
15.719,16.821,17.75,17.986,19.9091,21.7197,23.6481
16.374,16.634,17.353,17.591,19.4609,20.7912,22.5571
16.986,16.317,16.947,17.183,18.9938,20.1024,21.9512
17.334,15.91,16.515,16.733,18.7206,19.7857,21.5584
17.551,15.607,16.201,16.403,18.6627,19.7064,21.4275
17.604,15.564,16.157,16.343,18.7769,19.8067,21.4996
17.524,15.792,16.386,16.566,19.0189,20.0524,21.735
17.585,15.832,16.439,16.614,19.2256,20.2718,21.9498
