Value,Min,Avg,Max
   A,45.22019916,20.74950778,13.91363765
   B,49.63626121,17.14840009,11.0545244
   C,23.48401323,8.076230293,5.858600657
   D,40.49309292,22.43980165,21.76253835
   E,32.30008415,5.395367289,3.897189268
   F,31.64622299,17.79737776,49.91639925
   G,23.89139401,8.711126172,7.722425034
   H,8.379483822,20.27506003,15.06600767
