ic-1,ic-2,ic-3,ic-4,ic-5
3665.2,19685.9,3474,25567.5,9286.8
16861.7,3665.2,947.8,19114.8,8394.4
18144.7,24241.3,11833.1,6121.4,6124
124.7,6581.6,4956,12915.9,14851.8
4049.2,4645.4,8808.3,13880,11793.1
3410.8,4145.8,2526.5,6532.3,3376.7
94762,10746.8,46524.1,6155.7,9582.4
12883.1,4098.3,3789.8,5676.1,16170.4
7579.6,3079.4,5634.4,3402.2,30149.7
1020.7,2469.5,11085.9,13789.3,19791
3740.6,5131.2,9538.8,11882.5,8445.9
8243.7,4764,3402.2,4252.8,11212.9
1085.4,10743.9,119.1,881.6,3789.8
2967.5,1226.6,6456.6,5517.7,1484.3
916.3,2120.2,8816.2,12167.2,0
8443.4,4631.7,2551.7,4559.6,15962.5
680.4,638,1360.9,1515.9,2858.9
13918.2,3487.2,3158.7,7769,6244.6
1579.1,4858.3,8798.4,26625.1,12107.9
6333.4,8138.8,10714.6,6869.2,1780
1856.3,201.5,3916,6238,5717.6
10899.5,1894.9,4547.7,4964.5,8785.7
712.8,16497.2,18048.4,23293.7,8676.6
3402.2,3077.6,17.4,7484.9,11080
3912.3,16777.4,52018.3,946.7,4421.4
5371.9,2199.1,2210.7,5788.1,6824.4
2748.9,3411.7,1697.2,6163.3,5311.4
1007.4,228.7,12560.5,12506.3,7020.3
6124,5055.7,4632.4,9187.4,5684.7
3742.4,5435.5,5947.4,12397.6,4422.9
3957.1,6316.3,3789.8,20587.4,18588.4
9095.5,2041.3,6288.7,9198.8,9517
32329.9,20950.5,6847.4,5850.2,13460.8
5414,2211.4,4724.9,5568.3,4042.4
2607.4,5103.3,12713.1,7948.5,6062.1
4672.4,12771.5,1957.3,19909.3,8327.5
2228.3,3789.8,20111.7,9733.7,8739.7
2819.7,3455.6,1832.6,4737.2,17479.3
6841.1,81.7,3568.7,2927.4,11670.8
1181.9,379,12588.2,3443.4,3870.2
2976.8,1894.9,2144.8,10827.5,4588.6
23670.1,6824.7,9919.7,6788.4,3356.2
15911,1735.7,13807.6,18144.6,11053.5
2804.5,7826.6,69984.5,11640.2,2932.1
269.1,2373.4,2854.3,5862.4,28217.7
6944.5,3789.8,1611.6,4824.5,9161.8
