Value,Low,Min,Avg,Max,Low2,Min2,Avg2,Max2,Out
   A,41.00559758,8.046809398,2,8.759478328,0,0,0,0,10
   B,0,0,0,0,43.95876007,23.53826241,2,10.69525227,10
   C,46.97674796,5.497719633,2,8.335306663,0,0,0,0,10
   D,0,0,0,0,49.39736065,19.07848352,2,10.38069349,10
   E,29.00552486,7.267298701,2,3.845316197,0,0,0,0,10
   F,0,0,0,0,23.48401323,6.006903089,2,5.92792786,10
   G,3.933158473,24.52814984,2,29.2985337,0,0,0,0,10
   H,0,0,0,0,42.73818185,20.8455534,2,19.11169768,10
   I,24.53485207,2.13883042,2,2.016125863,0,0,0,0,10
   J,0,0,0,0,31.58289933,4.721878501,2,3.287862877,10
   L,13.38,9.844117178,2,7.125882822,0,0,0,0,10
   M,0,0,0,0,31.69823657,17.74104674,2,47.92071669,10
   N,22.35871148,0.280736365,2,1.52715304,0,0,0,0,10
   O,0,0,0,0,23.14290515,0.912428778,2,0.214666076,10
   P,10.66346089,8.632890523,2,9.378986174,0,0,0,0,10
   Q,0,0,0,0,10.83712066,12.03828676,2,7.2918526,10
