Value,Min,Avg,Max
   A,43.95876007,23.81917859,12.41433609
   B,49.39736065,19.7626136,11.69656341
   C,23.48401323,7.290670822,6.644160128
   D,42.73818185,19.75192345,22.20532763
   E,31.58289933,5.25530391,4.754437468
   F,31.69823657,18.67904674,48.98271669
   G,21.01669451,2.17079602,3.131016301
   H,13.65930827,18.59716237,14.70724565
