2015 Observed,2030 Baseline,2030 Extended Policies,2030 Net Zero,2030 Net Zero Mandates,2050 Baseline,2050 Extended Policies,2050 Net Zero,2050 Net Zero Mandates
18.479,17.0819,18.3668,19.5273,19.3727,19.8345,23.8479,26.0818,27.397
17.911,16.9336,18.2626,19.4925,19.327,19.671,23.8054,26.1578,27.4645
17.308,16.4407,17.8259,19.1358,18.9488,19.3685,23.6562,26.1251,27.4248
16.437,15.9103,17.353,18.7565,18.5462,18.9387,23.3922,25.9927,27.2572
15.348,15.5856,17.129,18.6963,18.457,18.6011,23.3372,26.203,27.4219
14.584,15.0408,16.4268,17.9817,17.7224,18.1802,22.6735,25.4234,26.5565
13.986,14.8504,16.1442,17.5733,17.3279,17.9,22.1417,24.6763,25.8023
13.557,14.6058,15.8624,17.2498,17.0087,17.571,21.7108,24.1798,25.2897
13.396,14.481,15.6909,17.0274,16.7958,17.2878,21.3179,23.6904,24.7705
13.384,14.4792,15.643,16.9238,16.7023,17.1725,21.0897,23.3618,24.4255
13.525,14.7642,15.8841,17.1095,16.9076,17.3061,21.1237,23.3073,24.3744
13.869,15.115,16.2062,17.3926,17.2086,17.5567,21.3106,23.4404,24.5256
14.488,15.4357,16.5233,17.6906,17.5243,17.9828,21.7309,23.8639,25.0215
15.05,15.7196,16.5011,17.4438,17.3586,17.1491,20.2003,21.7379,22.7178
15.572,15.8318,16.5478,17.2767,17.2032,17.332,20.2245,21.6047,22.6086
16.113,15.6919,16.3063,16.9803,16.9294,17.1023,19.9122,21.2119,22.2074
16.425,15.3972,16.0789,16.7578,16.6823,16.8345,19.613,20.8788,21.8308
16.564,15.4068,16.0876,16.7661,16.6828,16.8185,19.5848,20.8345,21.7579
16.583,15.4302,16.1095,16.7849,16.6966,16.8472,19.6013,20.8402,21.751
16.549,15.4695,16.1536,16.8316,16.7382,16.93,19.6901,20.9351,21.8505
16.724,15.5651,16.2541,16.9382,16.8453,17.0408,19.817,21.0813,22.0085
17.692,15.816,16.7992,17.7777,17.6268,18.5434,21.9643,23.7822,24.9926
18.69,16.229,17.2467,18.2527,18.1028,19.0245,22.5261,24.4198,25.6989
18.572,17.0164,17.8601,18.7699,18.6459,19.4852,23.1553,25.2126,26.5547
18.283,17.5944,18.7019,19.8822,19.7456,20.1346,24.1248,26.4844,27.9452
17.852,17.7815,19.2027,20.5588,20.4038,20.4501,24.633,27.1656,28.6627
17.337,17.1556,19.0577,20.6125,20.4187,20.6519,25.3105,28.2902,29.7489
16.413,16.4288,18.772,20.558,20.3204,20.5903,25.7402,29.1085,30.5975
15.479,16.1886,18.7683,20.9584,20.6535,20.3679,26.3274,30.4496,32.0475
14.84,20.6769,23.8816,26.6631,26.1351,26.8705,34.8935,39.9668,42.9346
14.481,20.6005,23.5213,26.107,25.5968,26.4647,34.2289,38.9686,41.9963
14.429,20.594,23.4464,25.9907,25.4797,26.2707,34.0206,38.6961,41.7845
14.52,20.7802,23.467,25.9725,25.4706,26.0776,33.6688,38.2485,41.4111
14.891,21.1032,23.6076,26.0753,25.5812,26.0962,33.5273,38.021,41.3155
15.616,21.9266,24.2745,26.7085,26.2119,26.565,33.8977,38.3039,41.7366
16.925,22.9057,25.0925,27.47,26.9497,27.326,34.6315,38.9742,42.5241
18.623,24.6434,26.2023,28.1144,27.5447,28.1568,35.4904,39.8363,43.5646
18.866,25.1017,26.6009,28.5455,27.9496,28.7124,35.2361,38.6553,42.5204
18.724,25.1449,26.5045,28.1608,27.5737,28.786,35.0441,38.181,42.0832
18.634,25.0571,26.3943,27.978,27.391,28.7028,34.8363,37.8221,41.6873
18.589,24.8533,26.216,27.7955,27.2108,28.4621,34.5614,37.5039,41.2989
18.5,24.785,26.1544,27.7399,27.1565,28.3739,34.4568,37.3793,41.1199
18.58,24.7795,26.1467,27.7258,27.1497,28.3862,34.4357,37.3421,41.0538
18.559,24.7055,26.0793,27.6602,27.088,28.3847,34.4261,37.341,41.0492
18.901,24.4656,25.8378,27.4199,26.8539,28.1723,34.196,37.1359,40.8494
19.732,24.4414,25.8171,27.3961,26.8231,28.3811,35.1211,38.901,42.6939
20.855,24.3176,25.6644,27.7089,27.1524,28.9446,35.7903,39.6938,43.6
20.869,24.6185,26.147,28.2458,27.6905,29.4875,36.5814,40.75,44.7338
20.717,24.6206,26.2926,28.4375,27.8701,29.4996,36.7824,41.1459,45.1205
20.365,24.5717,26.3893,28.6491,28.0306,29.3607,36.8364,41.3996,45.352
19.8,23.3797,25.5741,28.074,27.4677,28.99,36.6407,41.4056,45.3543
18.754,22.4362,24.9607,27.5963,26.9651,28.3877,36.23,41.2166,45.1002
17.49,22.0424,24.7259,27.6201,26.9614,27.8983,36.1601,41.5885,45.3728
16.489,21.4607,23.8781,26.6647,26.0148,26.9335,35.1113,40.482,44.1624
16.121,21.3128,23.5949,26.1907,25.5612,26.6324,34.4487,39.4555,43.0971
15.942,21.1799,23.4184,25.9646,25.3373,26.3673,34.0775,38.9772,42.579
15.921,21.2276,23.3944,25.8628,25.2567,26.1348,33.6833,38.4241,41.9645
15.973,21.327,23.4245,25.8077,25.2246,26.041,33.4248,38.0016,41.5079
16.585,21.9004,23.9439,26.2575,25.6977,26.3296,33.6022,38.0125,41.4802
18.002,22.8553,24.5403,26.8119,26.2735,26.7565,33.9772,38.2785,41.7309
19.509,23.538,25.1199,27.2631,26.7282,27.3627,34.5974,38.8597,42.3679
19.695,24.0569,25.5644,27.5449,27.0495,26.7156,32.9741,36.0481,39.1412
19.57,23.6581,25.007,26.6982,26.2923,26.5005,32.4693,35.2272,38.2476
19.337,23.307,24.6375,26.3432,25.9613,26.231,32.0585,34.6352,37.5505
19.183,22.8783,24.4779,26.176,25.7951,26.0521,31.8554,34.3649,37.1733
19.014,22.8224,24.4653,26.151,25.7683,26.0306,31.8337,34.3099,37.0473
19.017,22.9142,24.5751,26.2424,25.864,26.1749,31.9596,34.4146,37.1218
19.069,23.1387,24.9109,26.3438,25.9735,26.5931,32.3812,34.8443,37.555
19.151,22.9361,24.7008,26.1403,25.7854,26.7414,32.5182,35.0108,37.7393
19.646,23.1018,25.1023,26.9996,26.5613,27.8466,34.4835,38.0419,41.2808
20.582,23.3945,25.4236,27.3657,26.9296,28.2993,35.0212,38.6916,42.0203
20.478,23.5845,25.7179,27.7767,27.3361,28.6978,35.6544,39.5722,42.962
20.424,23.6533,25.9451,28.1872,27.7268,29.1137,36.4439,40.7263,44.2038
20.238,23.596,25.9721,28.343,27.8684,29.0457,36.6044,41.1206,44.5953
19.62,22.9612,25.42,27.915,27.4211,28.7007,36.4734,41.2327,44.7376
18.437,22.3011,24.8403,27.4872,26.9703,28.135,36.1444,41.1765,44.6566
17.201,21.9602,24.6664,27.6083,27.0513,27.6887,36.1876,41.7397,45.1629
16.338,21.9908,25.1272,28.2744,27.7166,28.8741,37.5376,43.3244,47.5028
15.963,21.9042,24.8701,27.813,27.273,28.5979,36.8743,42.2773,46.4612
15.838,21.8788,24.7312,27.6336,27.0923,28.356,36.5284,41.8405,46.0384
15.804,22.2857,24.7691,27.5881,27.0535,28.2031,36.1793,41.3413,45.5538
15.926,22.6786,24.9263,27.6407,27.0988,28.3105,36.103,41.1161,45.3974
16.611,23.4208,25.5754,28.1976,27.6384,28.8291,36.4996,41.3718,45.7454
18.01,24.2494,26.348,28.9012,28.3355,29.5542,37.1909,41.9926,46.4984
19.499,26.0143,27.6947,29.5111,29.0727,30.4901,38.2131,43.0315,47.741
19.704,26.6376,28.1408,29.8259,29.4306,31.1784,38.1891,42.0204,46.7967
19.602,26.6691,28.0699,29.5676,29.1977,31.3288,38.0673,41.6073,46.4581
19.509,26.7074,28.0609,29.4683,29.1081,31.4013,38.0142,41.4114,46.2761
19.486,26.7216,28.0695,29.462,29.1065,31.3912,37.994,41.3689,46.2322
19.332,26.8783,28.2322,29.6304,29.2697,31.5836,38.2073,41.5896,46.5484
19.352,26.9786,28.3305,29.7221,29.3639,31.7559,38.3808,41.7719,46.8438
19.358,27.0004,28.3611,29.7555,29.3988,31.9035,38.553,41.9755,47.1744
19.659,26.9147,28.2781,29.6765,29.3286,31.8804,38.5389,42.0025,47.3199
20.322,26.9015,28.281,29.6827,29.344,32.1019,39.4282,43.7985,49.3918
21.593,26.8575,28.2314,29.9144,29.4995,32.5262,39.9634,44.4562,50.2057
21.691,27.1281,28.72,30.3899,30.0752,32.8931,40.5973,45.3715,51.2048
21.599,27.0185,28.7283,30.5944,30.2573,32.7028,40.5673,45.5063,51.2686
21.314,26.9081,28.7856,30.8888,30.5249,32.5339,40.6096,45.7508,51.4195
20.771,25.6666,27.7143,30.0397,29.6402,32.0635,40.3338,45.6808,51.2802
19.55,24.3605,26.6569,29.3701,28.8856,31.4054,39.8986,45.4839,51.0182
18.282,23.8246,26.4068,29.4166,28.9045,30.8976,39.8504,45.9064,51.3656
17.332,23.0883,25.5441,28.5988,28.0821,29.2779,37.9757,44.1526,49.2901
16.872,22.9262,25.2375,27.7566,27.2881,28.9452,37.2456,42.6046,47.3894
16.639,22.6965,24.9589,27.4244,26.9568,28.5336,36.6881,41.9153,46.5231
16.534,22.5991,24.7817,27.1631,26.7139,28.0784,36.0232,41.0576,45.4115
16.639,22.4896,24.5944,26.8834,26.4532,27.6909,35.4177,40.2493,44.3353
17.166,23.1091,24.9505,27.1773,26.7493,27.7659,35.3421,39.9796,43.9397
