2015 Observed,2030 Baseline,2030 Extended,2030 Net Zero,2050 Baseline,2050 Extended,2050 Net Zero
18.589,23.441,23.579,24.609,29.116,30.899,32.592
18.5,23.383,23.519,24.551,29.026,30.799,32.48
18.58,23.386,23.519,24.544,29.023,30.784,32.465
18.559,23.318,23.45,24.474,29,30.762,32.472
18.901,23.096,23.23,24.253,28.785,30.558,32.29
19.732,23.073,23.211,24.232,29.11,31.294,33.891
20.855,23.04,23.188,24.219,29.637,31.898,34.629
20.869,23.401,23.602,24.775,30.219,32.625,35.594
20.717,23.478,23.722,25.02,30.321,32.83,35.932
20.365,23.506,23.797,25.226,30.289,32.896,36.131
19.8,22.417,22.756,24.302,30.001,32.705,36.109
18.754,21.506,21.871,23.671,29.549,32.361,35.902
17.49,21.213,21.632,23.579,29.326,32.377,36.183
16.489,20.588,20.986,22.761,28.356,31.362,35.146
16.121,20.392,20.751,22.414,27.923,30.739,34.25
15.942,20.253,20.601,22.236,27.647,30.411,33.82
15.921,20.286,20.618,22.21,27.415,30.098,33.324
15.973,20.363,20.677,22.219,27.292,29.888,32.953
16.585,20.888,21.183,22.689,27.556,30.065,32.955
18.002,21.893,22.155,23.517,27.96,30.409,33.186
19.509,22.491,22.738,24.081,28.495,30.916,33.726
19.695,22.896,23.1,24.345,27.692,29.494,31.253
19.57,22.389,22.528,23.585,27.343,28.96,30.548
19.337,22.021,22.112,23.133,27.028,28.544,30.03
19.183,21.661,21.717,22.887,26.877,28.363,29.8
19.014,21.594,21.626,22.885,26.875,28.347,29.767
19.017,21.701,21.726,23,27.02,28.48,29.898
19.069,21.87,21.889,23.113,27.428,28.89,30.336
19.151,21.691,21.719,22.932,27.58,29.053,30.523
19.646,21.969,22.14,23.528,28.695,30.703,33.221
20.582,22.258,22.442,23.839,29.125,31.184,33.826
20.478,22.483,22.69,24.161,29.579,31.759,34.626
20.424,22.591,22.833,24.417,30.07,32.434,35.639
20.238,22.577,22.846,24.503,30.117,32.605,35.963
19.62,21.996,22.293,24.012,29.855,32.469,36.026
18.437,21.411,21.741,23.535,29.446,32.209,35.927
17.201,21.174,21.57,23.52,29.296,32.342,36.365
16.338,21.304,21.763,23.746,30.316,33.648,37.807
15.963,21.143,21.567,23.407,29.895,33.025,36.887
15.838,21.047,21.474,23.253,29.637,32.724,36.483
15.804,21.175,21.591,23.302,29.449,32.464,36.025
15.926,21.409,21.806,23.462,29.483,32.434,35.827
16.611,22.097,22.475,24.09,29.927,32.823,36.041
18.01,22.873,23.238,24.831,30.577,33.47,36.587
19.499,24.773,25.078,26.351,31.359,34.346,37.538
19.704,25.274,25.493,26.703,31.72,34.381,36.686
19.602,25.242,25.426,26.536,31.667,34.203,36.349
19.509,25.248,25.417,26.481,31.641,34.128,36.187
19.486,25.264,25.431,26.492,31.624,34.121,36.149
19.332,25.423,25.59,26.656,31.821,34.332,36.362
19.352,25.523,25.691,26.752,31.983,34.506,36.549
19.358,25.544,25.715,26.775,32.114,34.658,36.745
19.659,25.473,25.647,26.708,32.1,34.669,36.786
20.322,25.461,25.64,26.699,32.434,35.351,38.387
21.593,25.484,25.683,26.747,32.839,35.817,38.996
21.691,25.815,26.072,27.288,33.26,36.378,39.815
21.599,25.781,26.078,27.408,33.172,36.38,39.909
21.314,25.75,26.096,27.567,33.121,36.435,40.1
20.771,24.615,25.01,26.609,32.743,36.162,40.001
19.55,23.455,23.909,25.665,32.244,35.795,39.78
18.282,23.027,23.596,25.665,32.022,35.834,40.098
17.332,22.368,22.926,24.955,30.509,34.417,38.45
16.872,21.984,22.453,24.25,30.025,33.457,37.146
16.639,21.656,22.039,23.773,29.588,32.948,36.52
16.534,21.552,21.914,23.537,29.12,32.375,35.739
16.639,21.426,21.766,23.291,28.688,31.826,35.003
17.166,22.226,22.538,23.994,28.749,31.757,34.741
18.55,23.172,23.456,24.864,29.023,31.929,34.787
20.01,23.648,23.916,25.3,29.371,32.206,35.095
20.268,23.997,24.22,25.5,29.218,31.38,33.34
20.251,23.615,23.77,24.858,28.921,30.864,32.65
20.299,23.272,23.395,24.391,28.644,30.458,32.144
20.212,22.92,23.04,24.025,28.338,30.125,31.766
19.97,22.729,22.849,23.835,28.122,29.895,31.522
19.762,22.664,22.783,23.762,28.061,29.82,31.447
19.571,22.771,22.895,23.868,28.242,29.999,31.655
19.701,22.553,22.683,23.654,28.333,30.094,31.772
20.249,22.437,22.571,23.556,28.925,31.217,33.812
21.095,22.664,22.901,24.141,29.634,31.961,34.678
21.025,23.158,23.42,24.731,30.351,32.793,35.743
20.892,23.208,23.49,24.859,30.412,32.934,35.99
20.638,23.125,23.429,24.863,30.363,32.976,36.16
20.058,22.523,22.839,24.362,30.084,32.789,36.132
18.901,21.827,22.164,23.779,29.586,32.408,35.886
17.615,21.524,21.911,23.681,29.379,32.441,36.183
16.726,20.245,20.543,22.356,27.835,30.65,34.221
16.222,20.015,20.271,21.984,27.389,30.014,33.315
15.897,19.881,20.12,21.819,27.137,29.706,32.905
15.719,20.053,20.272,21.94,27.066,29.553,32.569
15.844,20.144,20.343,21.968,26.972,29.374,32.232
16.294,20.643,20.829,22.402,27.207,29.537,32.232
17.567,21.278,21.462,22.982,27.65,29.942,32.541
19.046,21.744,21.928,23.418,28.221,30.502,33.145
19.178,22.154,22.305,23.649,27.397,29.058,30.701
19.033,21.849,21.886,23.228,27.196,28.681,30.146
18.718,21.676,21.692,23.092,27.091,28.474,29.829
18.569,21.604,21.599,23.047,27.025,28.376,29.681
18.527,21.471,21.461,22.924,26.9,28.246,29.543
18.496,21.44,21.435,22.88,26.879,28.227,29.534
18.521,21.421,21.429,22.842,26.895,28.261,29.611
18.678,21.344,21.372,22.735,26.792,28.188,29.577
19.355,21.382,21.479,22.853,28.039,30.002,32.405
20.437,21.57,21.702,23.025,28.314,30.351,32.898
20.421,21.993,22.174,23.308,28.723,30.909,33.697
20.203,22.53,22.773,24.075,29.115,31.469,34.497
19.886,22.885,23.181,24.622,29.24,31.73,34.909
19.365,22.073,22.421,23.986,29.031,31.651,35.016
18.309,21.117,21.528,23.246,28.69,31.455,34.972
17.215,20.805,21.33,23.352,28.548,31.576,35.373
16.437,18.747,19.054,20.286,24.826,27.299,30.201
15.931,18.459,18.737,19.881,24.358,26.704,29.421
15.616,18.261,18.532,19.646,24.047,26.362,29.016
15.55,18.214,18.472,19.551,23.802,26.067,28.591
15.559,18.239,18.484,19.525,23.677,25.881,28.291
15.799,18.503,18.734,19.737,23.757,25.91,28.21
16.343,18.814,19.036,20.012,23.952,26.079,28.315
17.209,19.182,19.388,20.348,24.416,26.545,28.827
17.712,19.597,19.774,20.59,24.096,25.816,27.556
