2015 Observed,2030 Baseline,2030 Extended,2030 Net Zero,2050 Baseline,2050 Extended,2050 Net Zero
15.821,20.991,21.397,23.016,28.953,31.97,35.699
15.663,21.135,21.533,23.123,28.991,31.987,35.622
15.808,21.463,21.846,23.389,29.048,31.988,35.436
15.962,21.599,21.965,23.456,28.989,31.868,35.155
16.679,22.247,22.594,24.046,29.407,32.283,35.405
18.157,23.371,23.677,25.083,30.13,33.091,36.123
19.264,24.326,24.619,26.008,30.75,33.75,36.844
19.316,24.382,24.625,25.907,29.691,31.9,33.983
18.969,23.816,23.987,25.079,29.317,31.27,33.171
18.514,23.389,23.524,24.531,29.033,30.85,32.647
18.318,22.895,23.022,24.231,28.757,30.539,32.284
18.036,22.788,22.912,24.123,28.611,30.384,32.11
17.811,22.69,22.811,23.91,28.505,30.27,31.992
17.619,22.622,22.743,23.737,28.542,30.303,32.055
17.816,22.35,22.476,23.467,28.483,30.246,32.019
18.436,22.374,22.621,23.841,29.552,31.91,34.677
19.31,22.702,22.962,24.206,30.105,32.54,35.453
20.405,23.339,23.633,24.953,31.079,33.736,36.927
20.934,23.861,24.182,25.57,31.729,34.633,38.003
20.705,24.415,24.746,26.204,32.062,35.192,38.725
20.067,23.973,24.359,25.942,32.27,35.578,39.32
18.957,23.752,24.16,25.758,32.425,35.913,39.828
17.767,23.876,24.344,26.172,32.78,36.579,40.8
16.982,23.473,24.009,26.021,32.847,36.658,40.706
16.566,23.572,24.06,25.846,32.767,36.426,40.214
16.431,23.793,24.263,25.994,32.788,36.435,40.14
16.381,24.24,24.679,26.323,32.727,36.321,39.845
16.58,24.535,24.938,26.483,32.633,36.146,39.504
17.212,25.453,25.814,27.284,32.608,36.027,39.197
18.6,26.41,26.741,28.169,32.684,36.313,39.079
19.372,26.428,26.737,28.143,32.627,36.069,38.943
19.006,25.258,25.506,26.806,30.516,33.455,35.275
18.51,23.65,23.805,24.904,28.436,30.292,31.997
18.205,22.402,22.504,23.511,27.664,29.204,30.846
18.056,21.757,21.785,22.989,27.432,28.879,30.435
17.815,21.545,21.535,22.849,27.307,28.704,30.213
17.648,21.257,21.18,22.67,27.212,28.576,30.064
17.567,21.105,21.034,22.508,27.152,28.51,30.016
17.704,20.833,20.778,22.216,26.951,28.314,29.835
18.283,21.159,21.202,22.769,28.791,30.938,33.408
18.989,21.257,21.307,22.903,29.088,31.294,33.909
19.822,21.56,21.664,23.259,29.575,31.94,34.82
20.029,21.784,21.914,23.506,29.611,32.044,34.937
19.73,22.127,22.281,23.927,29.984,32.518,35.536
19.055,21.496,21.668,23.378,29.631,32.258,35.428
18.015,20.68,20.876,22.658,28.986,31.724,35.021
16.865,20.402,20.646,22.564,28.791,31.752,35.294
15.998,15.988,16.162,17.542,21.49,23.395,25.687
15.456,15.763,15.913,17.21,21.105,22.892,25.022
15.142,15.679,15.825,17.087,20.92,22.676,24.754
15.038,15.838,15.974,17.203,20.91,22.616,24.582
15.079,15.821,15.938,17.15,20.776,22.426,24.287
15.311,16.304,16.405,17.596,21.108,22.706,24.465
15.786,16.813,16.906,18.074,21.51,23.075,24.777
16.288,17.058,17.129,18.336,21.882,23.419,25.139
16.931,16.892,16.926,17.851,20.679,21.779,22.862
17.041,16.711,16.77,17.476,20.266,21.236,22.174
16.995,16.461,16.531,17.144,19.849,20.744,21.6
16.824,16.052,16.119,16.724,19.314,20.18,21
16.669,15.71,15.777,16.379,18.899,19.75,20.556
16.581,15.465,15.53,16.127,18.613,19.451,20.252
16.577,15.378,15.445,16.039,18.528,19.364,20.178
16.663,15.398,15.466,16.063,18.534,19.373,20.193
17.063,15.623,15.723,16.57,19.793,20.984,22.401
17.744,15.898,16.004,16.868,20.134,21.359,22.852
18.394,16.353,16.477,17.39,20.755,22.076,23.719
18.312,16.775,16.929,17.774,21.207,22.618,24.375
17.912,17.268,17.454,18.331,21.475,22.973,24.827
17.29,16.715,16.887,17.995,21.37,22.957,24.932
16.493,16.048,16.22,17.55,21.213,22.899,24.969
15.66,15.855,16.016,17.615,21.32,23.182,25.437
14.895,15.603,15.744,17.237,20.93,22.735,24.87
14.5,15.342,15.45,16.793,20.423,22.077,24.001
14.347,15.334,15.433,16.741,20.236,21.842,23.653
14.235,15.324,15.411,16.687,20.097,21.654,23.368
14.285,15.519,15.597,16.836,20.127,21.634,23.251
14.587,15.937,16.008,17.219,20.437,21.905,23.463
15.102,16.358,16.362,17.646,20.882,22.341,23.94
15.488,16.813,16.824,17.935,20.403,21.696,22.673
15.754,16.682,16.766,17.437,19.721,20.726,21.538
15.779,16.18,16.255,16.82,19.082,19.905,20.754
15.732,15.563,15.632,16.179,18.607,19.392,20.2
15.683,15.295,15.364,15.894,18.421,19.191,19.983
15.493,15.295,15.363,15.885,18.384,19.144,19.93
15.329,15.224,15.292,15.815,18.332,19.091,19.89
15.254,15.145,15.214,15.739,18.246,19.009,19.813
15.548,15.318,15.415,16.244,19.179,20.296,21.602
16.186,15.626,15.729,16.574,19.54,20.687,22.066
16.671,16.142,16.262,17.154,20.233,21.477,23.007
17.636,16.943,17.098,17.88,21.108,22.467,24.138
17.837,17.168,17.325,18.333,21.581,23.003,24.731
17.334,16.721,16.886,17.927,21.284,22.761,24.561
16.477,15.893,16.072,17.164,20.532,22.072,23.933
15.54,15.636,15.847,17.033,20.325,22.006,24.013
14.733,17.733,18.069,19.603,23.38,25.486,27.98
14.204,17.383,17.686,19.126,22.826,24.771,27.035
14.044,17.134,17.428,18.846,22.464,24.365,26.545
14.016,17.215,17.495,18.876,22.339,24.177,26.208
14.188,17.361,17.627,18.97,22.368,24.144,26.048
14.746,18.14,18.365,19.65,22.827,24.55,26.317
16.166,19.543,19.73,21.049,23.453,25.151,26.845
17.761,20.284,20.381,21.918,24.134,25.793,27.556
17.882,20.848,20.911,22.363,24.692,26.166,27.044
17.388,20.425,20.524,21.545,23.615,24.714,25.477
16.872,19.646,19.714,20.619,22.958,23.899,24.622
16.563,18.855,18.915,19.798,22.299,23.205,23.878
16.202,18.451,18.511,19.391,21.929,22.818,23.472
16.089,18.266,18.325,19.199,21.711,22.586,23.235
15.915,18.136,18.196,19.066,21.603,22.477,23.147
15.85,17.964,18.026,18.893,21.432,22.31,22.996
16.166,17.799,17.87,18.727,21.748,23.055,24.473
16.734,17.431,17.609,18.73,21.94,23.285,24.804
17.217,17.728,17.929,19.109,22.464,23.924,25.64
18.219,18.422,18.614,19.857,23.337,24.921,26.806
18.606,19.201,19.444,20.738,24.238,25.922,27.908
17.918,19.035,19.299,20.645,24.4,26.186,28.325
16.864,18.528,18.817,20.227,24.115,26.016,28.284
15.603,18.318,18.653,20.188,24.031,26.146,28.648
14.789,17.389,17.706,19.194,22.89,24.944,27.325
14.293,17.231,17.515,18.912,22.562,24.462,26.623
14.08,17.105,17.381,18.756,22.349,24.21,26.293
13.962,17.166,17.428,18.769,22.215,24.014,25.953
14.02,17.206,17.453,18.755,22.099,23.83,25.639
14.609,17.987,18.205,19.461,22.289,23.953,25.618
15.926,19.067,19.261,20.488,22.622,24.241,25.812
17.544,19.67,19.852,21.064,22.971,24.57,26.162
17.593,19.926,20.071,21.192,22.814,24.123,24.781
17.118,19.174,19.26,20.212,21.622,22.621,23.219
16.856,18.568,18.627,19.504,20.923,21.776,22.385
16.64,18.061,18.114,18.985,20.553,21.385,21.958
16.558,17.725,17.779,18.653,20.744,21.567,22.131
16.536,18.098,18.151,19.018,21.102,21.916,22.479
16.371,17.919,17.975,18.837,21.303,22.117,22.702
16.335,17.6,17.662,18.517,21.138,21.957,22.56
16.757,17.884,18.036,19.104,22.008,23.256,24.574
17.161,17.744,17.904,18.989,21.995,23.282,24.699
17.215,17.701,17.884,19.025,22.164,23.561,25.169
18.046,17.844,18.048,19.249,22.428,23.931,25.69
18.333,17.892,18.113,19.364,22.475,24.059,25.906
17.699,17.203,17.445,18.741,22.042,23.715,25.703
16.601,16.621,16.886,18.241,21.626,23.401,25.508
15.457,16.381,16.691,18.164,21.47,23.447,25.779
14.626,16.167,16.492,17.988,21.001,22.923,25.188
14.102,16.153,16.446,17.852,20.82,22.594,24.643
13.827,16.19,16.475,17.859,20.768,22.503,24.477
13.775,16.243,16.514,17.864,20.629,22.304,24.139
13.858,16.307,16.565,17.876,20.546,22.155,23.865
14.417,16.749,16.99,18.276,20.778,22.322,23.893
15.733,17.472,17.652,18.822,21.105,22.606,24.087
17.222,18.18,18.348,19.509,21.514,23.001,24.505
17.256,18.644,18.777,19.867,21.017,22.038,22.746
16.737,18.265,18.344,19.282,20.665,21.554,22.124
16.32,17.847,17.899,18.766,20.343,21.16,21.65
16.072,17.331,17.378,18.239,20.001,20.797,21.253
15.784,17.092,17.141,17.999,19.734,20.522,20.968
15.627,16.96,17.009,17.86,19.595,20.374,20.819
15.423,16.853,16.902,17.751,19.523,20.302,20.769
15.311,16.688,16.74,17.586,19.378,20.164,20.65
15.591,16.605,16.66,17.502,20.004,21.193,22.462
16.158,16.394,16.562,17.683,20.336,21.568,22.938
16.657,17.202,17.32,18.302,21.006,22.359,23.928
17.663,17.975,18.139,19.243,21.699,23.173,24.904
18.106,18.306,18.521,19.774,22.307,23.904,25.815
17.542,17.533,17.802,19.169,22.389,24.082,26.145
16.508,17.142,17.435,18.863,22.197,24.006,26.2
15.337,16.889,17.231,18.783,22.068,24.1,26.535
14.52,17.307,17.623,19.128,22.777,24.88,27.374
14.139,17.265,17.548,18.959,22.604,24.56,26.835
13.917,17.28,17.555,18.946,22.574,24.501,26.702
13.85,17.515,17.778,19.137,22.648,24.523,26.579
13.94,17.806,18.054,19.377,22.83,24.647,26.578
14.585,18.553,18.785,20.086,23.432,25.196,26.989
16.03,19.645,19.829,21.154,24.174,25.912,27.628
17.499,20.363,20.489,21.93,24.839,26.576,28.342
17.391,20.899,21.03,22.273,24.427,25.906,26.724
16.853,20.358,20.457,21.452,23.467,24.592,25.341
16.53,19.678,19.747,20.658,22.85,23.791,24.531
16.335,19.068,19.165,20.057,22.54,23.445,24.14
16.146,18.585,18.68,19.567,21.945,22.831,23.504
15.976,18.323,18.417,19.296,21.648,22.517,23.183
15.801,18.215,18.308,19.185,21.556,22.423,23.106
15.652,17.945,18.011,18.876,21.316,22.186,22.886
15.995,17.849,18,19.086,22.196,23.514,24.948
16.51,18.023,18.182,19.286,22.521,23.883,25.422
17.042,18.51,18.693,19.857,23.317,24.81,26.561
18.015,19.151,19.358,20.588,24.217,25.844,27.773
18.37,19.45,19.666,20.913,24.425,26.143,28.159
17.704,18.691,18.937,20.271,24.104,25.917,28.082
16.577,18.041,18.311,19.704,23.618,25.537,27.822
15.585,17.734,18.049,19.564,23.385,25.507,28.02
14.805,17.13,17.434,18.877,22.503,24.548,26.922
14.412,17.02,17.291,18.646,22.239,24.133,26.291
14.204,16.951,17.214,18.547,22.079,23.934,26.013
14.05,17.035,17.284,18.581,21.944,23.733,25.665
14.145,17.135,17.369,18.627,21.876,23.595,25.396
14.535,17.923,18.141,19.392,22.175,23.827,25.485
15.842,19.007,19.201,20.424,22.578,24.187,25.751
17.301,19.599,19.78,20.989,22.952,24.54,26.125
17.486,19.844,19.988,21.105,22.646,23.942,24.597
17.252,19.262,19.349,20.301,21.738,22.734,23.35
16.996,18.633,18.691,19.569,21.257,22.098,22.694
16.751,17.942,17.994,18.863,20.786,21.599,22.152
16.394,17.337,17.443,18.483,20.39,21.185,21.721
16.176,17.1,17.204,18.238,20.113,20.893,21.423
15.963,17.015,17.119,18.15,20.044,20.821,21.37
15.869,16.883,16.94,17.788,20.031,20.81,21.377
16.035,17.012,17.149,18.172,20.928,22.147,23.438
16.402,17.298,17.444,18.485,21.367,22.631,24.026
16.626,17.754,17.923,19.023,22.093,23.48,25.075
17.307,18.109,18.3,19.46,22.616,24.119,25.873
17.684,18.239,18.448,19.656,22.745,24.328,26.168
17.145,17.705,17.933,19.187,22.46,24.129,26.108
16.196,17.146,17.397,18.709,22.057,23.827,25.924
15.058,16.898,17.194,18.623,21.875,23.843,26.16
14.141,13.367,13.584,14.595,16.866,18.264,19.871
13.531,12.989,13.184,14.122,16.339,17.626,19.089
13.195,12.711,12.901,13.814,15.972,17.227,18.643
13.074,12.671,12.851,13.736,15.784,16.993,18.311
13.1,12.683,12.853,13.707,15.685,16.844,18.076
13.353,12.931,13.091,13.915,15.789,16.901,18.047
13.822,13.216,13.368,14.171,15.972,17.051,18.146
14.58,13.529,13.648,14.438,16.312,17.378,18.501
15.234,13.899,14.004,14.654,15.77,16.52,17.166
15.901,13.778,13.847,14.395,15.727,16.39,16.947
16.126,13.662,13.741,14.246,15.652,16.272,16.781
16.143,13.566,13.644,14.145,15.504,16.111,16.598
15.957,13.471,13.549,14.05,15.391,15.995,16.475
15.761,13.341,13.418,13.917,15.264,15.864,16.345
15.562,13.223,13.301,13.801,15.172,15.773,16.269
15.4,13.127,13.206,13.707,15.072,15.678,16.181
15.635,13.068,13.149,13.83,15.8,16.68,17.658
15.978,13.4,13.465,14.073,16.061,16.97,18.012
16.104,14.084,14.179,14.785,16.475,17.463,18.633
16.429,14.576,14.702,15.394,16.814,17.882,19.158
16.388,14.901,15.056,15.834,17.031,18.172,19.541
15.881,14.382,14.565,15.439,17.25,18.462,19.92
15.123,14.206,14.399,15.326,17.706,18.999,20.532
14.303,14.506,14.729,15.751,18.133,19.576,21.261
13.635,13.735,13.96,14.97,17.37,18.826,20.493
13.209,13.399,13.602,14.54,16.918,18.268,19.794
12.866,13.163,13.361,14.273,16.612,17.934,19.415
12.71,13.191,13.38,14.264,16.507,17.785,19.17
12.702,13.262,13.441,14.295,16.482,17.714,19.015
12.906,13.673,13.833,14.656,16.756,17.943,19.16
13.351,14.285,14.43,15.186,17.113,18.27,19.438
13.957,14.861,15,15.734,17.609,18.758,19.958
14.656,15.196,15.312,15.978,17.308,18.267,18.891
15.261,14.881,14.958,15.519,16.843,17.608,18.036
15.561,14.496,14.554,15.064,16.775,17.42,18.04
15.72,14.233,14.286,14.784,16.447,17.069,17.657
15.459,13.876,13.928,14.424,16.007,16.613,17.184
14.941,13.329,13.379,13.871,15.408,15.998,16.56
14.629,12.909,12.959,13.451,14.983,15.569,16.14
14.448,12.72,12.772,13.265,14.777,15.364,15.939
14.747,13.243,13.358,14.03,15.94,16.831,17.825
15.202,13.942,14.062,14.748,16.683,17.605,18.665
15.64,14.768,14.905,15.634,17.667,18.679,19.879
16.408,15.184,15.338,16.112,18.243,19.348,20.666
16.73,15.268,15.434,16.243,18.33,19.495,20.873
16.208,14.836,15.015,15.871,18.134,19.365,20.827
15.505,14.322,14.516,15.428,17.797,19.105,20.637
14.647,13.933,14.158,15.161,17.537,18.991,20.673
13.959,15.957,16.259,17.697,20.812,22.72,24.93
13.545,15.791,16.061,17.41,20.466,22.223,24.218
13.298,15.596,15.857,17.184,20.172,21.889,23.807
13.219,15.682,15.93,17.222,20.06,21.715,23.495
13.304,15.816,16.051,17.305,20.044,21.634,23.289
13.865,16.673,16.875,18.065,20.261,21.788,23.306
15.11,17.743,17.921,19.087,20.565,22.049,23.477
16.43,18.291,18.457,19.611,20.918,22.381,23.825
16.883,18.497,18.626,19.705,20.63,21.787,22.288
16.808,17.98,18.056,18.987,19.87,20.755,20.977
16.66,17.422,17.47,18.33,19.116,19.861,20.367
16.346,16.766,16.808,17.661,18.799,19.52,19.99
16.162,16.295,16.336,17.19,18.799,19.508,19.965
15.982,16.407,16.447,17.294,18.904,19.602,20.058
15.927,16.358,16.402,17.243,19.059,19.759,20.235
15.985,16.101,16.15,16.985,19.159,19.866,20.363
16.278,16.724,16.867,17.913,20.368,21.508,22.7
16.705,17.007,17.158,18.221,20.791,21.976,23.268
16.898,17.195,17.369,18.487,21.199,22.495,23.974
17.556,17.04,17.234,18.411,21.165,22.567,24.194
17.622,17.078,17.278,18.492,21.015,22.528,24.314
16.755,16.32,16.559,17.847,20.807,22.41,24.341
15.784,15.868,16.131,17.479,20.521,22.231,24.285
14.776,15.807,16.116,17.586,20.545,22.462,24.747
14.029,15.665,15.967,17.409,20.71,22.61,24.979
13.51,15.622,15.892,17.243,20.493,22.239,24.387
13.222,15.704,15.964,17.295,20.497,22.206,24.277
13.09,15.872,16.12,17.418,20.497,22.15,24.081
13.129,16.08,16.314,17.575,20.589,22.181,23.99
13.619,16.584,16.801,18.038,20.913,22.444,24.114
14.839,17.403,17.587,18.79,21.361,22.853,24.433
16.228,18.225,18.398,19.589,21.976,23.457,25.066
16.792,19.004,19.144,20.261,21.41,22.636,23.284
16.954,19.013,19.099,20.071,21.655,22.606,23.309
16.574,18.826,18.887,19.784,21.916,22.803,23.431
16.119,18.589,18.649,19.532,21.698,22.566,23.16
15.817,18.422,18.481,19.365,21.492,22.352,22.936
15.624,18.323,18.382,19.258,21.39,22.244,22.829
15.517,18.293,18.353,19.226,21.414,22.272,22.884
15.54,18.231,18.293,19.164,21.398,22.268,22.903
15.849,18.262,18.411,19.46,22.686,23.921,25.341
16.407,18.435,18.592,19.659,23.033,24.315,25.841
16.778,18.613,18.793,19.919,23.443,24.839,26.56
17.656,19.037,19.213,20.344,23.684,25.196,27.076
18.13,19.49,19.72,21.011,23.728,25.374,27.45
17.711,18.732,19.006,20.412,23.442,25.334,27.415
16.788,17.913,18.24,19.786,23.079,25.215,27.466
15.732,17.737,18.163,19.976,23.196,25.794,28.542
15.02,18.633,18.964,20.548,24.899,27.158,29.872
14.535,18.43,18.712,20.239,24.574,26.681,29.175
14.328,18.324,18.585,20.121,24.412,26.489,28.91
14.255,18.42,18.656,20.183,24.322,26.345,28.619
14.373,18.554,18.765,20.275,24.322,26.285,28.43
14.885,19.045,19.23,20.734,24.631,26.536,28.538
16.113,19.836,19.911,21.575,25.067,26.931,28.847
17.277,20.52,20.574,22.248,25.497,27.341,29.291
17.382,21.019,21.107,22.493,24.818,26.365,27.281
16.953,20.681,20.782,21.802,24.233,25.357,26.276
16.565,20.12,20.195,21.121,23.785,24.804,25.63
16.376,19.508,19.576,20.581,23.328,24.312,25.094
16.182,19.13,19.203,20.317,22.976,23.944,24.708
16.055,18.955,19.026,20.13,22.748,23.701,24.46
15.915,18.846,18.918,20.004,22.653,23.603,24.382
15.821,18.705,18.779,19.684,22.528,23.483,24.279
16.058,18.634,18.732,19.852,23.483,24.906,26.507
16.459,18.739,18.909,20.047,23.826,25.297,27.009
16.924,18.99,19.185,20.384,24.347,25.941,27.863
17.889,19.612,19.802,20.978,24.994,26.723,28.825
18.455,19.999,20.228,21.528,25.318,27.148,29.357
17.957,19.351,19.611,21.004,25.371,27.303,29.67
16.982,19.038,19.318,20.795,25.275,27.324,29.826
15.892,18.978,19.297,20.929,25.348,27.618,30.367
15.086,18.255,18.542,20.247,24.528,26.74,29.377
14.686,18.159,18.399,20.042,24.297,26.356,28.775
14.486,18.124,18.342,19.996,24.213,26.237,28.585
14.461,18.216,18.408,20.056,24.134,26.098,28.303
14.611,18.262,18.426,20.066,24.066,25.965,28.046
15.204,18.722,18.821,20.59,24.357,26.198,28.146
16.466,19.933,19.963,21.74,24.745,26.558,28.43
17.565,20.604,20.626,22.378,25.125,26.923,28.823
17.578,20.935,20.995,22.459,24.825,26.303,27.201
17.108,20.335,20.435,21.44,23.427,24.548,25.042
16.683,19.591,19.659,20.555,22.511,23.444,24.236
16.421,18.884,18.945,19.832,22.237,23.139,23.885
16.184,18.599,18.659,19.546,21.93,22.813,23.539
16.046,18.384,18.443,19.322,21.67,22.535,23.254
15.769,18.19,18.251,19.123,21.59,22.451,23.188
15.729,17.819,17.885,18.751,21.487,22.352,23.105
15.987,18.059,18.199,19.374,22.696,24.038,25.522
16.469,17.98,18.128,19.321,22.778,24.165,25.757
16.872,18.152,18.324,19.578,23.245,24.761,26.565
17.826,18.816,18.996,20.146,23.957,25.602,27.58
18.293,19.064,19.275,20.526,24.26,25.98,28.017
17.788,18.565,18.798,20.209,24.164,25.981,28.165
16.754,18.082,18.339,19.811,23.872,25.798,28.106
15.575,17.937,18.239,19.832,23.822,25.953,28.489
14.709,16.921,17.225,18.7,22.261,24.282,26.637
14.225,16.747,17.019,18.403,21.902,23.769,25.904
13.955,16.627,16.889,18.25,21.674,23.499,25.553
13.789,16.613,16.862,18.187,21.448,23.209,25.118
13.907,16.712,16.946,18.231,21.381,23.073,24.854
14.487,17.6,17.813,19.039,21.654,23.282,24.924
15.648,18.74,18.931,20.132,22.112,23.699,25.252
16.861,19.37,19.548,20.737,22.492,24.06,25.635
17.19,19.56,19.701,20.803,22.182,23.444,24.065
17.046,18.854,18.937,19.887,21.126,22.09,22.41
16.685,18.043,18.097,18.972,20.297,21.087,21.677
16.339,17.185,17.232,18.096,19.75,20.506,21.052
15.932,16.736,16.825,17.686,19.393,20.133,20.663
15.655,16.603,16.691,17.544,19.242,19.97,20.497
15.537,16.566,16.655,17.505,19.24,19.969,20.518
15.45,16.35,16.403,17.246,19.227,19.963,20.531
15.575,16.623,16.762,17.826,20.521,21.721,23.007
15.852,16.927,17.075,18.157,20.97,22.213,23.6
16.124,17.503,17.674,18.817,21.82,23.187,24.776
16.823,17.901,18.096,19.304,22.453,23.949,25.706
17.238,18.106,18.323,19.593,22.755,24.359,26.26
16.754,17.697,17.934,19.25,22.609,24.309,26.358
15.857,17.266,17.528,18.9,22.347,24.157,26.33
14.734,17.154,17.462,18.955,22.319,24.342,26.746
13.903,14.056,14.27,15.283,18.142,19.644,21.508
13.389,13.795,13.986,14.924,17.726,19.123,20.838
13.199,13.568,13.753,14.665,17.404,18.776,20.443
13.023,13.513,13.689,14.572,17.198,18.516,20.083
13.036,13.5,13.665,14.517,17.071,18.33,19.808
13.237,13.671,13.826,14.647,17.096,18.297,19.687
13.747,13.889,14.035,14.834,17.213,18.372,19.71
14.49,14.1,14.236,15.024,17.488,18.636,20.006
15.194,14.42,14.535,15.201,16.567,17.393,18.149
15.824,14.247,14.323,14.883,16.405,17.147,17.809
16.201,14.071,14.128,14.639,16.214,16.926,17.535
16.413,13.831,13.925,14.453,16.031,16.732,17.315
16.234,13.786,13.88,14.408,15.97,16.657,17.233
15.755,13.752,13.846,14.372,15.944,16.621,17.198
15.179,13.781,13.876,14.402,16.019,16.697,17.291
14.767,13.919,14.017,14.546,16.195,16.883,17.491
14.797,14.154,14.253,14.93,17.591,18.566,19.797
15.272,14.711,14.788,15.366,18.118,19.136,20.445
15.645,15.69,15.801,16.435,18.701,19.815,21.269
16.263,16.548,16.694,17.435,19.507,20.67,21.972
16.757,17.262,17.455,18.342,20.738,22.17,23.662
16.437,16.84,17.046,18.1,20.989,22.614,24.339
15.763,16.206,16.403,17.708,20.891,22.734,24.666
14.978,15.943,16.168,17.804,21.032,23.222,25.535
14.303,16.398,16.533,18.064,22.214,24.141,26.507
13.923,16.186,16.279,17.775,21.917,23.722,25.939
13.708,16.006,16.09,17.568,21.67,23.446,25.624
13.666,16.031,16.12,17.525,21.483,23.222,25.298
13.668,16.065,16.158,17.489,21.356,23.055,25.042
13.914,16.378,16.48,17.727,21.48,23.144,25.049
14.443,16.74,16.86,18.023,21.702,23.354,25.221
14.878,17.321,17.491,18.395,22.112,23.769,25.689
15.13,17.594,17.69,18.646,21.558,22.867,24.135
15.251,17.278,17.256,18.285,21.427,22.563,23.75
15.249,16.976,16.901,17.977,21.286,22.345,23.434
15.235,16.774,16.809,17.576,20.917,21.92,22.939
15.084,16.652,16.728,17.385,20.593,21.561,22.53
14.881,16.421,16.504,17.137,20.257,21.201,22.154
14.74,16.254,16.338,16.968,20.067,21.002,21.965
14.854,16.206,16.292,16.922,20.006,20.945,21.915
15.401,16.259,16.347,17.298,20.932,22.205,23.76
16.087,16.574,16.668,17.64,21.35,22.662,24.299
16.573,16.984,17.088,18.049,21.865,23.272,25.073
17.415,17.292,17.361,18.467,22.265,23.775,25.729
17.914,17.549,17.611,18.911,22.588,24.189,26.259
17.428,17.154,17.235,18.626,22.779,24.465,26.648
16.577,16.879,16.967,18.446,22.714,24.497,26.769
15.597,16.668,16.789,18.38,22.625,24.593,27.049
14.856,19.221,19.486,21.39,26.43,29.005,32.18
14.532,19.151,19.406,21.141,26.096,28.529,31.475
14.385,19.15,19.422,21.066,25.922,28.342,31.218
14.449,19.37,19.652,21.194,25.847,28.221,30.948
14.715,19.7,19.971,21.458,26.008,28.326,30.919
15.402,20.366,20.626,22.075,26.467,28.73,31.174
16.908,21.693,21.953,23.269,27.007,29.239,31.589
18.304,22.406,22.653,23.951,27.473,29.687,32.073
18.231,22.463,22.665,23.875,26.814,28.622,30.012
17.737,21.836,21.941,23.075,26.437,27.878,29.225
17.411,21.277,21.241,22.597,26.273,27.564,28.777
17.257,20.751,20.727,22.06,25.897,27.119,28.242
17.078,20.6,20.63,21.793,25.463,26.648,27.705
16.939,20.391,20.443,21.533,25.097,26.253,27.281
16.772,20.203,20.256,21.282,24.87,26.015,27.059
16.715,19.808,19.894,20.805,24.63,25.774,26.83
17.036,19.67,19.825,21.052,25.279,26.896,28.787
17.523,19.842,20.006,21.254,25.617,27.279,29.286
17.891,20.097,20.287,21.605,26.174,27.967,30.198
18.831,20.388,20.589,22.024,26.781,28.719,31.15
19.291,20.618,20.803,22.37,27.07,29.093,31.602
18.734,20.265,20.444,22.141,27.109,29.245,31.938
17.613,19.673,19.855,21.685,26.8,29.064,31.911
16.376,19.524,19.778,21.674,26.676,29.186,32.297
15.547,18.577,18.858,20.602,25.169,27.565,30.446
15.077,18.595,18.858,20.457,24.944,27.196,29.858
14.848,18.417,18.682,20.224,24.623,26.845,29.431
14.832,18.523,18.783,20.263,24.481,26.644,29.08
15.066,18.669,18.922,20.338,24.437,26.536,28.841
15.711,19.553,19.794,21.13,24.829,26.864,29.022
17.166,20.669,20.89,22.184,25.272,27.264,29.326
18.437,21.184,21.358,22.727,25.626,27.58,29.653
18.156,21.151,21.148,22.816,25.467,27.053,28.113
17.433,20.718,20.787,21.914,24.222,25.409,25.993
16.926,19.883,19.955,20.868,22.998,23.957,24.798
16.639,18.998,19.061,19.952,22.34,23.258,24.046
16.495,18.578,18.64,19.533,21.91,22.805,23.571
16.265,18.514,18.575,19.456,21.824,22.7,23.457
15.953,18.143,18.205,19.08,21.815,22.685,23.46
15.827,17.727,17.794,18.662,21.519,22.391,23.181
16.139,18.154,18.309,19.442,22.842,24.25,25.83
16.561,18.225,18.388,19.539,23.068,24.52,26.209
17.004,18.574,18.761,19.974,23.705,25.286,27.189
17.84,19.423,19.637,20.916,24.863,26.59,28.683
18.511,19.597,19.825,21.15,25.034,26.837,28.979
17.967,19.065,19.314,20.691,24.811,26.713,29.006
16.865,18.59,18.864,20.304,24.549,26.564,28.984
15.651,18.388,18.708,20.273,24.477,26.705,29.359
14.829,17.099,17.491,19.183,22.415,24.595,27.006
14.337,16.942,17.254,18.808,22.15,24.074,26.256
14.148,16.82,17.102,18.651,21.983,23.869,25.98
14.125,17.078,17.328,18.82,21.914,23.738,25.706
14.244,17.357,17.584,18.977,21.848,23.601,25.437
14.841,18.394,18.592,19.92,22.134,23.821,25.512
16.218,19.48,19.662,20.941,22.66,24.224,25.813
17.411,19.894,20.077,21.292,23.043,24.54,26.058
17.321,19.719,19.861,20.966,22.423,23.702,24.336
17.017,18.827,18.91,19.857,21.095,22.059,22.613
16.931,17.912,17.965,18.835,20.338,21.131,21.686
16.991,17.216,17.263,18.124,19.808,20.574,21.088
17.139,16.717,16.762,17.626,19.522,20.278,20.78
17.302,16.642,16.688,17.541,19.496,20.243,20.745
17.315,16.854,16.902,17.753,19.757,20.507,21.034
17.54,16.855,16.911,17.759,20.071,20.831,21.38
17.841,16.876,17.004,18.013,21.231,22.462,23.765
17.919,17.204,17.34,18.367,21.691,22.962,24.364
17.736,17.454,17.612,18.694,22.132,23.509,25.097
18.059,17.876,18.056,19.198,22.671,24.154,25.893
