State,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,25 to 44 Years,45 to 64 Years
   AL,310504,552339,259034,450818,1231572,1215966
   AK,52083,85640,42153,74257,198724,183159
   AZ,515910,828669,362642,601943,1804762,1523681
   AR,202070,343207,157204,264160,754420,727124
   CA,2704659,4499890,2159981,3853788,10604510,8819342
