NEMS-RHG,REGEN-EPRI,RIO-REPEAT,MARKAL-NETL,EPS-EI,GCAM-CGS
4.731316216,6.001120998,6.765862283,8.374284235,10.00718649,10.90414643
5.085968047,6.450955347,7.273020405,9.002007072,10.75730905,11.72150366
4.817496324,6.110430381,6.889101297,8.526820377,10.18946567,11.10276358
3.469817782,4.401057846,4.961898168,6.141470793,7.338996603,7.996802469
4.255538864,5.397653098,6.085492615,7.532172949,9.000871868,9.80763424
4.062950257,5.153376986,5.810087647,7.191297036,8.593528537,9.363780083
3.095385199,3.926133927,4.426453234,5.478736632,6.547035863,7.133857036
2.008573539,2.547640506,2.872294162,3.555113408,4.248325215,4.629109319
3.497521849,4.436197213,5.001515452,6.19050614,7.397593356,8.060651341
4.078871374,5.17357106,5.832855115,7.219476925,8.627203225,9.400473086
3.373141061,4.278434737,4.82364882,5.970355969,7.134516088,7.773994041
1.159612274,1.470832481,1.658265183,2.052478073,2.452690912,2.672529476
3.426889308,4.346608099,4.900509723,6.065488714,7.248198773,7.897866285
3.007982247,3.81527351,4.301465534,5.324036095,6.362170258,6.932421634
4.812466745,6.104050948,6.881908913,8.517918176,10.17882762,11.09117203
2.354434395,2.986324532,3.366881042,4.167276491,4.979854019,5.426206206
3.361650501,4.263860306,4.807217124,5.950018031,7.110212454,7.747512034
5.094906852,6.462293176,7.285803048,9.017828483,10.77621548,11.7421047
2.204857037,2.796603156,3.152982887,3.902529165,4.663483594,5.081479
3.784839174,4.800625619,5.41238409,6.69904897,8.005296987,8.722824409
5.71662394,7.250868553,8.174869009,10.11824861,12.0912066,13.17496056
4.63041292,5.873136973,6.621568861,8.195688503,9.793766365,10.67159712
3.635722563,4.611488646,5.199144812,6.435117153,7.689901087,8.379159076
1.583811961,2.008880148,2.264877916,2.803298476,3.349913838,3.65017191
3.176325917,4.028797756,4.542199832,5.621999215,6.718233226,7.320399089
4.080213641,5.175273568,5.834774578,7.221852696,8.630042247,9.403566574
4.880045792,6.189767061,6.978548094,8.637531011,10.32176377,11.24691978
5.717747455,7.2522936,8.176475654,10.1202372,12.09358294,13.1775499
3.068800754,3.892414669,4.388437028,5.431682982,6.490807219,7.072588529
2.345461419,2.974943362,3.354049534,4.151394599,4.960875315,5.405526411
1.817692021,2.305529636,2.599330361,3.217258991,3.844592542,4.189189448
5.688833235,7.215619295,8.135127829,10.06905992,12.0324266,13.11091202
5.847813444,7.417267088,8.36247222,10.35045,12.36868496,13.47730974
3.597639146,4.563184289,5.144684882,6.367710677,7.609351017,8.291389177
3.161130194,4.00952376,4.52046969,5.595103252,6.686092818,7.285377885
4.659972268,5.910629548,6.66383923,8.248007641,9.856287215,10.73972182
3.05813865,3.878891038,4.373190039,5.412811386,6.468255848,7.048015844
2.562491772,3.25022097,3.664406614,4.535531652,5.419915279,5.905710852
5.516029186,6.99643758,7.888015115,9.763202066,11.66692951,12.71265484
3.846762078,4.879167577,5.500934891,6.808650606,8.136269854,8.865536581
5.786761795,7.339830215,8.275167328,10.24239046,12.23955488,13.33660553
2.320226552,2.942935886,3.317963248,4.106729661,4.907501158,5.347368244
2.126703612,2.697474681,3.041222167,3.764200006,4.498181623,4.901360752
1.801585226,2.285100051,2.576297371,3.188750459,3.810525129,4.152068519
2.301505823,2.919190833,3.291192289,4.073594546,4.867905025,5.304223047
3.686532806,4.675935495,5.271804321,6.525049723,7.797369614,8.496260178
4.150517733,5.264446082,5.935310619,7.346288776,8.778742127,9.56559466
4.627146902,5.868994413,6.616898401,8.189907752,9.786858425,10.66407002
4.803721333,6.092958417,6.869402827,8.502439067,10.16033024,11.0710167
5.313976635,6.740157561,7.599076545,9.405575262,11.23956903,12.24698936
2.918293882,3.701514313,4.173209653,5.165290446,6.172470784,6.725719096
0.844589941,1.071263513,1.207777914,1.494898229,1.786388537,1.946505365
1.977331922,2.50801417,2.827618121,3.499816707,4.182246206,4.557107544
2.730588838,3.463432429,3.904788263,4.83305829,5.775456657,6.293119965
4.064081199,5.154811453,5.811704913,7.193298769,8.595920588,9.366386537
5.323382432,6.752087714,7.612526994,9.422223233,11.25946319,12.26866667
6.664783516,8.453498028,9.530753252,11.79646191,14.09665482,15.36016028
4.286725872,5.437210169,6.130090565,7.587372995,9.066835375,9.879510161
-0.193896926,-0.245935562,-0.277275886,-0.343191597,-0.41011055,-0.446869407
1.948680138,2.471672735,2.786645585,3.44910393,4.121644941,4.491074492
3.05720537,3.877707282,4.371855434,5.41115951,6.466281873,7.045864938
1.69459595,2.149396674,2.423300896,2.99938273,3.584232574,3.905493005
9.11770744,11.564745,13.03847599,16.13806184,19.28482362,21.01335284
7.079798285,8.979895702,10.1242314,12.53102529,14.97445077,16.31663446
5.989938997,7.597536722,8.565714167,10.60200786,12.6692941,13.80486295
6.626849289,8.405382901,9.476506666,11.7293195,14.01642031,15.27273421
5.322400914,6.750842773,7.611123407,9.420485977,11.25738718,12.26640459
2.955924291,3.749244084,4.227021775,5.231895113,6.252062699,6.812444961
2.847093292,3.611204695,4.071391604,5.03926759,6.021874723,6.561624872
3.018269714,3.828321958,4.316176786,5.342244596,6.383929235,6.956130903
3.502635836,4.442683707,5.00882854,6.19955774,7.408409927,8.072437419
3.016675479,3.826299857,4.313897003,5.339422848,6.380557275,6.952456709
2.373324396,3.010284289,3.393894063,4.200711212,5.019808179,5.46974152
1.281971294,1.62603058,1.833240652,2.269049776,2.711491947,2.954527256
8.842955095,11.2162538,12.64557548,15.65175864,18.70369612,20.38013797
6.199524914,7.863371933,8.865425576,10.97296849,13.11258837,14.28789039
1.972122015,2.501406014,2.820167867,3.490595333,4.171226755,4.545100402
3.096839978,3.927979144,4.428533594,5.481311547,6.550112861,7.137209829
3.862315854,4.898895722,5.523177054,6.836180312,8.169167578,8.901382981
5.715325833,7.249222056,8.173012693,10.115951,12.08846098,13.17196885
3.309529718,4.197751191,4.732683522,5.857765847,6.99997201,7.627390566
5.317215802,6.744266065,7.603708609,9.411308488,11.24642017,12.25445459
3.837048879,4.866847522,5.487044853,6.791458544,8.11572551,8.843150816
6.274292169,7.958205447,8.972344016,11.10530423,13.27072826,14.46020461
3.08673308,3.915159726,4.414080558,5.463422647,6.528735803,7.113916713
2.671769497,3.388826978,3.82067561,4.728949865,5.651048123,6.157560498
2.927886158,3.713680993,4.186926771,5.182268481,6.192759366,6.747826176
8.375329291,10.62312519,11.97686267,14.82407534,17.71462281,19.30241245
2.730389667,3.463179803,3.904503445,4.832705762,5.77503539,6.29266094
2.88815193,3.663282774,4.130106152,5.111940118,6.108717671,6.656251692
6.795650452,8.619487424,9.717895186,12.02809236,14.37345092,15.66176604
9.80355325,12.43466016,14.01924711,17.35198784,20.73545313,22.59400457
2.230822584,2.829537414,3.190114059,3.948487385,4.71840321,5.141321148
2.105420786,2.670479907,3.010787366,3.726530059,4.453166411,4.852310755
5.836108698,7.402420986,8.345734234,10.32973296,12.3439283,13.4503341
5.408426314,6.859955927,7.734141186,9.572748291,11.43933913,12.46466518
9.256395166,11.74065416,13.23680178,16.38353485,19.57816143,21.33298298
3.799333456,4.81900992,5.433111159,6.724703404,8.035953781,8.75622902
7.828131756,9.929069145,11.19436093,13.85555253,16.55724766,18.04129994
2.440276089,3.095204676,3.489636117,4.319213649,5.161417414,5.624043415
7.78366403,9.872667038,11.13077133,13.77684602,16.46319417,17.93881628
3.708388092,4.703656368,5.303057749,6.563732906,7.843595635,8.546629509
5.452238645,6.915526742,7.79679356,9.650294769,11.53200641,12.56563837
3.416144915,4.332980094,4.885145058,6.046471468,7.225473353,7.87310395
2.808797368,3.562630798,4.016627785,4.971484983,5.94087518,6.473365213
11.36154499,14.41079038,16.24720167,20.10958532,24.03075473,26.18466926
2.269927443,2.879137352,3.246034669,4.017701783,4.801113729,5.231445141
2.829898984,3.589395728,4.046803453,5.008834194,5.985507117,6.52199758
14.58735631,18.50235458,20.86016647,25.81917217,30.85365432,33.61911612
1.824758458,2.314492585,2.609435485,3.229766367,3.859538732,4.205475289
2.837400713,3.598910793,4.057531052,5.022112024,6.001373991,6.539286627
16.85522547,21.37888125,24.10325776,29.83323086,35.65041459,38.8458176
5.337179652,6.769587873,7.632257253,9.44664389,11.28864563,12.30046478
1.867386998,2.3685619,2.670395019,3.305217573,3.949702173,4.303720222
16.50919809,20.939986,23.60843275,29.22077304,34.91853357,38.04833693
2.183958915,2.770096333,3.123098219,3.865540131,4.619282066,5.033315619
8.346280979,10.5862808,11.93532309,14.77266072,17.65318285,19.23546553
1.451573913,1.841151656,2.075775268,2.569241196,3.070217712,3.345406179
10.54662226,13.37715626,15.08184837,18.66719714,22.30711519,24.30653718
3.446122962,4.371003738,4.928014173,6.099531689,7.288879791,7.942193607
7.926486456,10.05382057,11.33500982,14.02963732,16.76527726,18.26797556
2.074095669,2.630747661,2.965991918,3.671085565,4.38691079,4.780116538
9.732958521,12.34511901,13.91829545,17.22703734,20.58613853,22.43130666
2.009505425,2.548822494,2.873626775,3.556762818,4.250296243,4.631257014
6.283036887,7.969297098,8.98484911,11.12078211,13.28922418,14.48035835
2.154352403,2.732543937,3.080760406,3.813137516,4.556661461,4.965082231
2.605218564,3.304414906,3.725506649,4.611156759,5.510286531,6.004182222
6.789212267,8.611321339,9.708688472,12.01669697,14.35983354,15.64692812
11.14380063,14.13460714,15.93582355,19.72418449,23.57020457,25.68283926
10.4106687,13.20471507,14.88743247,18.42656351,22.01956039,23.99320839
4.610563335,5.847960098,6.593183619,8.160555348,9.751782594,10.62585028
1.512525282,1.918461337,2.162936759,2.677123246,3.199135691,3.48587928
2.961725784,3.756602599,4.235318009,5.242163578,6.264333413,6.825815518
7.802974794,9.897160482,11.15838605,13.81102548,16.50403828,17.98332132
4.71301655,5.977910012,6.73969345,8.341894388,9.968480946,10.86197165
9.248240289,11.73031065,13.22514017,16.36910097,19.56091309,21.31418864
8.621021816,10.93475741,12.32820714,15.25894356,18.234286,19.86865388
3.882851633,4.924942956,5.552543567,6.87252801,8.212602717,8.94871128
3.915541662,4.966406432,5.599290861,6.930388356,8.281745255,9.024051173
5.196619494,6.59130376,7.431253847,9.197856731,10.99134744,11.97651929
4.023409187,5.103223765,5.753543247,7.121310558,8.509895391,9.272650766
1.076079988,1.364881551,1.5388126,1.904628494,2.276012135,2.4800147
3.022097287,3.833176786,4.321650279,5.349019281,6.392024917,6.964952213
4.01111007,5.087623775,5.735955302,7.0995415,8.483881582,9.244305298
4.865126446,6.170843617,6.957213177,8.611124227,10.29020793,11.21253553
5.951473947,7.548748306,8.510708493,10.5339259,12.58793684,13.71621351
1.570652078,1.992188375,2.24605906,2.780005887,3.322079425,3.619842654
5.732925407,7.271545056,8.198180382,10.14710171,12.12568576,13.21253015
3.945901857,5.004914786,5.642706453,6.984124967,8.345959972,9.094021556
1.931278219,2.449600438,2.761760547,3.418303069,4.084838219,4.450968725
2.988324099,3.79033945,4.27335405,5.289241778,6.320591394,6.887115991
2.498950203,3.169625925,3.573541094,4.423065028,5.28551878,5.759268183
2.264230807,2.871911836,3.237888384,4.007618914,4.7890648,5.218316248
10.17056372,12.90017,14.54407829,18.00158509,21.51171539,23.43984445
3.313079982,4.202254286,4.73776046,5.864049705,7.007481158,7.635572771
4.396825431,5.576858577,6.287534798,7.78224583,9.299706477,10.13325387
2.644990868,3.354861419,3.782381716,4.681552514,5.594408759,6.095844458
7.060526944,8.95545226,10.09667305,12.49691561,14.93369004,16.27222028
7.217045324,9.153977511,10.32049699,12.77394833,15.26474139,16.63294429
7.247179655,9.192199384,10.36358959,12.82728517,15.32847838,16.70239413
2.523188975,3.200369971,3.608202948,4.465966909,5.336786102,5.815130675
3.908887509,4.957966417,5.589775309,6.918610709,8.267671084,9.008715512
4.336168309,5.499922115,6.200794086,7.674884588,9.171410859,9.993458911
1.577701414,2.001129633,2.25613973,2.792482995,3.336989445,3.636089084
6.972512839,8.843816666,9.970811393,12.34113335,14.74753179,16.06937637
2.286116963,2.899671864,3.269185958,4.046356737,4.835356114,5.268756725
3.49450218,4.432367116,4.997197274,6.185161418,7.391206466,8.053691985
3.075776599,3.901262712,4.398412605,5.444030014,6.505561799,7.088665585
3.829061664,4.856716673,5.475622999,6.777321417,8.098831784,8.824742878
2.039114062,2.586377587,2.915967628,3.609169196,4.312921345,4.699495302
2.323454697,2.947030411,3.32257955,4.112443378,4.914328994,5.354808069
2.129387028,2.700878281,3.045059498,3.768949571,4.503857305,4.907545155
3.821874319,4.847600368,5.465344975,6.764600039,8.083629864,8.808178385
10.61372168,13.46226401,15.17780167,18.78596104,22.44903687,24.46117953
5.361863089,6.800895925,7.667554986,9.490332814,11.34085346,12.35735208
3.481022416,4.415269612,4.977920983,6.161302649,7.362695474,8.022625507
0.542892345,0.688595415,0.776345244,0.96090276,1.148269254,1.251190443
6.589076754,8.357472859,9.422491301,11.66246327,13.93652778,15.18568079
3.751657471,4.758538512,5.364933694,6.640318377,7.935114512,8.646351368
3.616924024,4.587644899,5.172262583,6.401844317,7.650140378,8.335834552
3.353353635,4.253336702,4.795352465,5.935332832,7.092663787,7.728390453
6.325153008,8.02271647,9.045075876,11.19532635,13.3783038,14.57742232
5.294974868,6.716056043,7.571903698,9.371942719,11.19937847,12.20319647
2.735604806,3.469794597,3.911961183,4.841936399,5.786065909,6.304680142
2.075250018,2.632211818,2.967642657,3.673128727,4.389352349,4.782776938
4.750136804,6.024992712,6.792776042,8.407596097,10.04699384,10.94752177
9.994861658,12.67731249,14.29282137,17.69059784,21.14008872,23.03490829
2.072075715,2.628185587,2.96310335,3.667510309,4.382638395,4.775461201
3.522437888,4.467800292,5.037145809,6.234606762,7.450293161,8.118074713
3.89233493,4.936971408,5.566104842,6.889313155,8.232660798,8.970567198
6.400567391,8.11837079,9.152919721,11.32880749,13.53781244,14.75122797
11.21100847,14.21985242,16.0319319,19.84314031,23.71235559,25.8377315
1.773256522,2.249168405,2.535786845,3.138609524,3.75060721,4.086780062
5.426691994,6.883123805,7.760261417,9.605077982,11.4779728,12.50676164
3.557331659,4.512058958,5.087044492,6.296367664,7.524096825,8.198493516
3.410130754,4.325351835,4.876544707,6.035826589,7.212752828,7.859243265
3.217009608,4.080400258,4.600378198,5.694008097,6.804283125,7.414161777
3.598541599,4.564328945,5.145975404,6.369307991,7.611259792,8.293469037
3.638681223,4.615241361,5.203375746,6.440353891,7.696158937,8.385977827
2.977013507,3.775993287,4.257179711,5.269222377,6.296668409,6.861048751
3.472935629,4.405012469,4.966356741,6.146989285,7.345591147,8.003988092
3.649596853,4.629086561,5.218985282,6.459674221,7.71924654,8.411134808
6.29202086,7.980692217,8.997696344,11.13668347,13.30822614,14.50106349
11.23811045,14.25422811,16.07068819,19.89110997,23.76967887,25.90019276
6.018585374,7.633871298,8.60667897,10.65271107,12.72988393,13.87088354
8.170776996,10.36367454,11.68434942,14.46202407,17.28197513,18.83098588
3.607034175,4.575100784,5.158119932,6.384339589,7.629222403,8.313041665
3.036059113,3.850885729,4.341615928,5.373731285,6.421555516,6.997129686
3.442861284,4.366866682,4.923349919,6.09375862,7.281981031,7.9346765
5.881991985,7.460618567,8.411348111,10.41094497,12.44097584,13.55608017
4.733590055,6.004005097,6.769113912,8.378308861,10.01199588,10.90938689
2.747514758,3.484900977,3.928992615,4.863016647,5.811256596,6.33212871
0.928863699,1.178154914,1.328290814,1.644060189,1.964635598,2.140728992
1.465277355,1.858532869,2.095371423,2.593495868,3.099201804,3.376988161
3.488305497,4.424507349,4.988335913,6.17419348,7.378099889,8.039410644
2.029559247,2.574258421,2.90230408,3.592257467,4.292711996,4.677474557
6.76459498,8.580097192,9.673485336,11.97312513,14.30776562,15.59019327
4.239292366,5.377046317,6.062259848,7.503417148,8.966508971,9.770191343
