Value,Low,Min,Avg,Max,Low2,Min2,Avg2,Max2,Out
   A,41.00559758,8.054410301,2,8.751877426,0,0,0,0,10
   B,0,0,0,0,43.95876007,22.81917859,2,11.41433609,10
   C,46.97674796,5.497984453,2,8.335041843,0,0,0,0,10
   D,0,0,0,0,49.39736065,18.7626136,2,10.69656341,10
   E,29.00552486,7.288002695,2,4.010948148,0,0,0,0,10
   F,0,0,0,0,23.48401323,6.290670822,2,5.644160128,10
   G,3.933158473,24.52815361,2,29.29852993,0,0,0,0,10
   H,0,0,0,0,42.73818185,18.75192345,2,21.20532763,10
   I,23.36811189,3.111113903,2,2.210582559,0,0,0,0,10
   J,0,0,0,0,31.58289933,4.25530391,2,3.754437468,10
   L,13.38,9.930117178,2,7.039882822,0,0,0,0,10
   M,0,0,0,0,31.69823657,17.67904674,2,47.98271669,10
   N,22.35871148,0.281055412,2,1.526833993,0,0,0,0,10
   O,0,0,0,0,23.14290515,0.926799638,2,0.200295217,10
   P,10.66346089,8.633721823,2,9.378154874,0,0,0,0,10
   Q,0,0,0,0,10.83712066,12.05930451,2,7.270834847,10
