Value,Min,Avg,Max
   A,66.600875,13.15751225,6.033279414
   B,36.69040029,15.16340087,13.87117545
   C,89.72506114,8.309785871,1.965152989
   D,2.034034371,13.73301908,15.69110433
   E,0,0,0
   F,18.26873624,9.068153874,8.772728829
   G,34,34.61666667,31.38333333
   H,12.61126302,21.57776325,24.7337993
