Value,Min,Avg,Max
   A,66.600875,12.89560749,5.670184176
   B,36.69040029,15.22308604,13.81149028
   C,51.32016262,18.61883104,48.36100634
   D,2.034034371,10.59479821,10.67427546
   E,16.61948225,6.370700125,9.710853989
   F,34,34.61666667,31.38333333
   G,12.61126302,21.57776325,24.7337993
   H,36.01819728,30.78938919,25.37875567
