MARKAL-NETL,REGEN-EPRI,IPM-NRDC,Haiku-RFF,NEMS-RHG,RIO-REPEAT,GCAM-PNNL,EPS-EI
36.95188859,69.8951976,70.92808567,139.3762166,181.1155525,238.5834018,249.3934436,257.9748756
35.69881574,67.52498656,68.52284844,134.6498397,174.973756,230.4928171,240.9362804,249.2267081
35.03489682,66.26917133,67.24847518,132.1456508,171.7196316,226.2061611,236.4553991,244.5916432
13.73201028,25.9743577,26.35819815,51.7947989,67.30591381,88.66203732,92.67925028,95.8682703
22.07703302,41.75912637,42.3762289,83.27080028,108.2081102,142.5424745,149.0009712,154.1279773
24.62652018,46.58152965,47.26989606,92.88703068,120.7041366,159.0034821,166.2078152,171.9268953
19.58938408,37.05369125,37.60125842,73.8878131,96.01517692,126.4807313,132.211482,136.760775
11.55618646,21.85874571,22.18176701,43.58796285,56.64135653,74.61362282,77.99431225,80.67803512
23.80410437,45.02591457,45.69129261,89.78501864,116.6731574,153.6934758,160.6572164,166.1853047
27.26704548,51.57613331,52.33830831,102.8466414,133.6463763,176.0522862,184.0290883,190.3613843
23.02780985,43.55753878,44.20121765,86.85696823,112.8682366,148.6812561,155.4178966,160.765704
7.160977721,13.54512508,13.74529045,27.00998568,35.09873205,46.23553734,48.33043618,49.99344844
19.65028555,37.16888755,37.71815705,74.11752307,96.3136787,126.8739475,132.6225145,137.1859508
13.60676549,25.73745481,26.11779438,51.32239693,66.69204047,87.85338236,91.83395575,94.99388985
20.97312359,39.67106076,40.25730655,79.10704234,102.7974215,135.4149778,141.5505327,146.4211751
7.652152174,14.47419087,14.68808566,28.86261188,37.50616874,49.40685216,51.64544099,53.42251995
13.69970398,25.91324972,26.29618714,51.67294506,67.1475681,88.45344862,92.46121057,95.64272802
35.77240621,67.66418432,68.66410321,134.9274103,175.3344514,230.967961,241.4329527,249.7404705
15.70297355,29.70247209,30.14140537,59.22893595,76.96637004,101.3877501,105.981556,109.6282979
29.07386647,54.99376945,55.80644915,109.6616618,142.5023074,187.7181987,196.2235749,202.9754736
33.68248244,63.71105391,64.65255475,127.0445746,165.0909236,217.4741684,227.3277661,235.1499355
28.27095967,53.47505603,54.26529269,106.6332344,138.5669495,182.5341542,190.8046451,197.3700827
24.23076085,45.83294339,46.51024744,91.39429407,118.7643665,156.4482242,163.5367804,169.1639523
7.795764312,14.74583595,14.96374502,29.40429235,38.21006759,50.33409766,52.61469931,54.42512969
19.51341247,36.90998952,37.45543312,73.60126117,95.64281059,125.9902134,131.6987391,136.230389
29.72637846,56.22800825,57.05892712,112.1228256,145.7005221,191.9312047,200.6274692,207.5309024
38.43428243,72.69917365,73.77349795,144.9675531,188.3813403,248.1546194,259.3983261,268.3240183
28.49303907,53.89512341,54.69156769,107.47088,139.6554469,183.968031,192.3034898,198.9205015
23.11357543,43.71976598,44.36584219,87.18046133,113.288607,149.2350097,155.9967403,161.3644653
12.78122564,24.17593053,24.53319442,48.20860151,62.64574914,82.52320537,86.26227228,89.23048914
11.21703238,21.21722934,21.53077052,42.30873154,54.9790307,72.42384206,75.7053141,78.31027435
38.85811103,73.50085347,74.58702473,146.5661622,190.4586888,250.8911092,262.2588044,271.2829233
29.72567398,56.22667572,57.0575749,112.1201685,145.6970692,191.9266562,200.6227146,207.5259842
24.03058802,45.45431269,46.12602146,90.63927633,117.7832418,155.1557892,162.1857861,167.7664713
24.38570968,46.12603203,46.80766725,91.9787346,119.5238309,157.4486661,164.5825516,170.2457076
33.87064859,64.06697374,65.01373424,127.7543052,166.013199,218.6890811,228.5977256,236.4635933
26.29328256,49.73424229,50.46919844,99.17377391,128.8735862,169.7650928,177.4570267,183.5631833
21.27970153,40.25095875,40.84577408,80.26340201,104.300079,137.3944275,143.61967,148.5615097
35.25194249,66.67971734,67.6650881,132.96431,172.7834567,227.6075372,237.9202706,246.1069197
26.96159863,50.9983748,51.75201188,101.694548,132.1492627,174.0801394,181.967585,188.2289463
37.54108941,71.00968213,72.05903967,141.5985815,184.0034545,242.3876332,253.370042,262.0883057
9.012262185,17.04686473,17.29877765,33.99271469,44.17259597,58.18853249,60.82501292,62.91795372
15.92600996,30.12434968,30.56951733,60.07019121,78.05955807,102.827806,107.4868598,111.185398
6.961270165,13.16737445,13.36195755,26.25672287,34.11988778,44.94610641,46.98258207,48.59921572
12.99296341,24.57643655,24.93961898,49.00724027,63.6835582,83.89031058,87.69132004,90.70870932
25.08570536,47.45008713,48.15128879,94.61899883,122.9547815,161.9682552,169.30692,175.1326378
20.04352418,37.91270586,38.47296726,75.60075203,98.24109386,129.4129303,135.2765368,139.9312959
27.95313128,52.87387759,53.65523023,105.4344399,137.0091492,180.4820648,188.6595769,195.1512044
39.41333924,74.55107816,75.65276929,148.6603883,193.1800778,254.4759932,266.0061169,275.159178
36.2179966,68.507027,69.51940114,136.6081013,177.5184629,233.844958,244.4403043,252.8513027
13.86647013,26.22869105,26.61628995,52.3019585,67.96495373,89.53019019,93.58673852,96.80698451
0.741867531,1.403256495,1.423993355,2.7981977,3.636180799,4.789938646,5.006967311,5.179253114
8.761022517,16.57164013,16.81653034,33.04508154,42.94117281,56.56637955,59.1293614,61.16395617
17.96209191,33.97563727,34.47771798,67.74994479,88.0391862,115.9739638,121.2286605,125.4000432
29.83545999,56.43433803,57.26830597,112.5342626,146.235173,192.6355001,201.3636756,208.2924411
26.74218398,50.58334783,51.33085178,100.8669534,131.0738263,172.6634678,180.4867249,186.697131
43.30328329,81.90898106,83.11940484,163.3325933,212.2462039,279.5917889,292.2598912,302.3163239
27.05417326,51.17348146,51.92970621,102.0437237,132.6030069,174.6778564,182.592384,188.8752442
-1.638144215,-3.09858083,-3.144370631,-6.178800371,-8.029180807,-10.57683475,-11.05606351,-11.43649395
11.40598091,21.57462907,21.89345179,43.02141316,55.90514082,73.64380633,76.98055407,79.62939432
18.18152348,34.39069625,34.89891056,68.57760322,89.11470552,117.3907447,122.7096347,126.9319766
11.82560363,22.36835339,22.69890551,44.60415842,57.96187467,76.35314052,79.81264624,82.55893655
54.67238835,103.4138588,104.9420745,206.214917,267.9706018,352.9975028,368.991565,381.6882742
46.24637251,87.47589009,88.7685798,174.4334235,226.6714268,298.5941259,312.1232103,322.8631242
37.85392513,71.60141682,72.65951883,142.7785444,185.5367838,244.407487,255.4814139,264.2723282
31.94104167,60.41708568,61.30990935,120.4761573,156.5554463,206.2303895,215.5745397,222.9922899
32.46006032,61.39881929,62.3061507,122.433807,159.0993582,209.581483,219.0774689,226.6157521
18.95140453,35.84694085,36.37667506,71.48146314,92.88819146,122.3615553,127.9056692,132.3068025
16.09851604,30.45064819,30.90063778,60.72085469,78.90507732,103.941608,108.6511273,112.389727
13.60521504,25.73452211,26.11481835,51.31654892,66.68444115,87.84337178,91.82349158,94.98306563
25.3919829,48.0294169,48.7391797,95.77422543,124.4559666,163.9457654,171.3740298,177.2708752
8.319422087,15.73634455,15.96889104,31.3794401,40.77671766,53.71514415,56.14893859,58.08097935
15.95083021,30.17129766,30.6171591,60.16380897,78.18121177,102.9880604,107.6543751,111.3586774
8.131746867,15.38135332,15.60865386,30.6715612,39.85684854,52.50340115,54.88229238,56.77074885
80.43299982,152.1405436,154.3888261,303.3795465,394.2333602,519.3233538,542.8535204,561.5326825
39.13015336,74.01542671,75.10920215,147.5922595,191.7920739,252.6475765,264.094856,273.182152
11.92866796,22.56330152,22.89673452,44.99289948,58.46703296,77.01858521,80.50824175,83.27846696
22.289208,42.16045937,42.78349266,84.0710881,109.2480622,143.9124026,150.4329697,155.6092498
27.2846574,51.60944659,52.37211389,102.9130706,133.7326992,176.1659993,184.1479536,190.4843397
46.87885254,88.67223805,89.982607,176.8190302,229.771457,302.6777936,316.3919061,327.2787025
17.52183303,33.14287925,33.63265374,66.08936343,85.88130649,113.1313902,118.2572919,122.3264322
35.55509059,67.25312772,68.24697215,134.1077329,174.2693032,229.5648419,239.9662593,248.2233094
22.90031271,43.31637551,43.95649055,86.37607076,112.2433236,147.8580586,154.5574005,159.875599
40.28633315,76.2023627,77.32845596,151.9531723,197.4589599,260.1125619,271.8980745,281.2538731
20.33325445,38.46073617,39.02909618,76.69356518,99.66117444,131.2836015,137.2319668,141.9540107
16.54787592,31.30062094,31.76317114,62.41576348,81.1075646,106.8429431,111.6839198,115.5268755
17.97468252,33.99945266,34.50188531,67.79743444,88.1008977,116.0552563,121.3136363,125.487943
58.25395699,110.1884637,111.8167923,219.7239826,285.5252602,376.1222431,393.1640707,406.6925368
19.58071822,37.03729963,37.58462457,73.85512698,95.97270221,126.4247794,132.152995,136.7002755
21.12362836,39.95574339,40.54619613,79.67472066,103.5351038,136.3867262,142.5663104,147.4719049
42.37020954,80.14405438,81.32839665,159.8131984,207.6728471,273.5673091,285.9624465,295.8021891
85.8006059,162.2934722,164.6917914,323.6252404,420.5420815,553.9798157,579.0802415,599.0059366
13.51534182,25.5645252,25.94230928,50.97756246,66.24393757,87.2630967,91.21692467,94.35562722
14.79882704,27.99226182,28.40592219,55.81864963,72.53479694,95.55004174,99.8793452,103.3161148
43.85551288,82.95353379,84.17939362,165.415509,214.9528955,283.1573121,295.9869656,306.171644
40.37347848,76.36719972,77.49572889,152.2818696,197.886093,260.675224,272.4862304,281.862267
57.33644945,108.4529808,110.055663,216.2633008,281.0281996,370.198268,386.9716845,400.2870754
22.01782457,41.64713247,42.26257999,83.04747612,107.9179066,142.1601895,148.6013652,153.7146211
46.14927321,87.29222493,88.5822005,174.0671815,226.1955054,297.967195,311.4678736,322.1852379
17.67832977,33.43889581,33.93304473,66.67964243,86.64835778,114.1418264,119.3135102,123.4189942
