ic-1,ic-2,ic-3,ic-4,ic-5
20,9,19,15.8,70
18.8,12,64.9,14,38.6
50,12.9,10.2,25,14.4
0.9,8,21.5,16,19
16,5.5,5.2,91.9,20.4
7,12,1,14,17.6
7,0.2,5.4,26.2,25.8
5.1,32.4,18,12,7.6
14.2,18,29.1,97.6,42.5
0.2,3.6,37,12,13.1
5,9,21.3,15,42.4
0.5,7.9,12,27.1,32
1.2,13,9,13,6.6
6,9.5,21.5,26.4,10
6,38.9,34.5,10,5
3.8,13.2,40.7,22.2,70.7
3,32,15,6.3,20.4
1.2,6,20.8,40,19.4
8,14,25,201.5,18
4,16,5,63,18.6
12,11.2,14,12.8,36
37.4,4.9,15.7,60,24.1
8.6,23.9,12,25.2,11
31.7,8,22,20,20.6
9,15,13.1,12.8,26
5.5,46.9,29.9,26.2,17
1.6,25,23.1,49,25
1,6,26.3,22.7,31.4
4.5,14.7,27.1,25.6,19.8
0.5,10,7,6,28
12,5,35,31.5,48.8
10.8,15,10,13.5,7
10,15,14.5,15.4,15
2.3,8,17.4,41.1,19
10.4,43.3,18,34.5,10
0.7,6.1,19,28,2
10,31.7,2.8,16,13
15,24.4,24.2,22,37
17.4,13.6,53.8,17.2,18
5,15.5,36.3,29,12
0.5,3,8.5,10.5,29
0.5,3.2,15,30.5,30.3
12,24,10,44.7,22
0.7,75,30,15,30.6
12.2,11,26.7,13,8.4
10,15,26.6,6,23
0.8,27.6,18.9,13.1,10.5
2,14,31.6,65,44
10.2,1.5,17.5,7.5,17.7
0.1,15,24.2,16,12
4.8,24,6,16.8,19.1
11.3,56.5,6,11.5,22.9
8.6,15,17.5,18.6,65
2.5,14.2,31.2,18.7,13.3
16,12,17.3,22.6,12.5
2.8,22,15,22,78
1.6,12,5.6,44.7,30
23.5,19.1,3,36.3,19
4.6,8,10,12,19
3,10,3,46.5,27
1.9,0.8,29.7,70.3,28
5.1,5.6,20.4,8,36
4.5,15,32.6,27,18
19.7,3,26.1,27,26.9
10.5,6,15,4.3,28.8
0.4,14.2,10,12,26
3,38,22,13,29.7
14.4,27,23,34,54
31.3,35,48.5,53,32.9
9,0.1,32,7,21.5
6.5,3,35,7.1,33.8
15,5.2,7.6,45.4,92
3.9,5.9,39.5,33,10
11.6,43.8,7,19.5,21.8
3.5,26,58.5,15.2,33.1
17,30.4,16.1,8,27.2
37.7,1,13.9,15.9,33
10,33.1,12.5,11,40.9
55,3.8,19.3,35,14.4
10.6,5,12,8.5,43
2,7,6.9,11.4,6
8.4,40,3,27.5,33.5
6.3,35.7,13.5,21.5,21.2
2,26,39.9,16.1,33
2,3.9,15,16.5,8
49.5,4,7.2,37.8,22
6.3,4,8.4,33.7,42.7
18,11,2.9,16,24.5
3,8,36.5,34.6,20
5,2.5,12.8,47.9,14
28,21.6,2.2,68.7,24
12,9,15,17,12.6
7.7,60,28,15,24
11.9,11.1,17,16.1,32
5,20.3,51.4,13.2,35.2
4.4,14.4,12,21,8.5
20,7.6,18.7,27,8
6.8,4.4,16.7,14.6,15
14,44,10,94.8,25
30,66,22.6,29.1,16.6
0.8,9.7,10.4,16.1,39.1
1.5,3,4,12.7,18.6
1.4,11.5,2,25,222
29,45,19,30.2,23.5
4.8,23,13,0.8,39.9
5,14,25,76.5,31
12,29.5,19.7,55.3,21.5
7.2,15,19.8,8,31.2
1,2,7,35,70
12.4,9.1,56,30,30.5
12.2,25.6,62.7,36.5,25
5,6,25.1,32.9,39.7
19.1,2,13.3,75.3,21.8
4.9,2,1.4,25,42.1
17,6.7,27,12.2,33.5
9,35.1,53.5,28.6,16
4.8,11.3,15,16,35
33.1,19.3,20,8,13
16,35.8,41,8,24
6.3,3.6,11.5,8.7,22.5
15,14.7,16.1,0.6,30
8.4,4,7.9,46.9,39.3
14,7,8,29.8,12
6,20,22.5,21.5,10.1
100,15,5.2,23.9,16
1.1,1.1,8.5,33,18
8,0.2,1.5,25,34.4
10,15.8,7,10.5,4.8
5,17.4,44.5,86.5,1.7
3,1,48.7,11.4,33
3,50.1,45,51.3,38.3
1.9,16,3,11,43
12,1.5,29.4,5,30
5,73.8,12.5,6,7.5
1,7,11,9,207.4
11.5,49.3,11,46,17.8
2.5,13,13,11.5,8
43.1,6.1,1.5,49.6,19.5
10.5,13.6,16.9,28.2,29
12,21.7,9.5,22,35.2
3,13.3,33,25,24.8
10,5.4,0.5,38,44.4
5,5.3,9,16,41.6
8.8,1.3,9.5,23.5,44.6
10,1.6,13,24,30
18,6.2,17.2,17.2,1.5
11.7,3.1,38,8,22.6
5,33.7,0.4,17.1,23
24,15.5,2.5,33.4,19
30.8,14.6,3,16,17
6,10,13.8,33,25
1.3,5,25.5,7.4,5.6
5,8,14.1,2.5,47.2
24.8,15.3,15,32.8,8
0.5,4,36.1,10,0.2
1,12.7,22,3,15.7
0,11,30,19.1,7
5,18.2,10,19.8,43.8
62.5,15.1,2.5,20,40
5,6.6,13,17.6,18
5,21.7,53,30,32
185.5,8,18.9,7,10
10.4,54.4,25,16,12
16.2,24,14.6,19,53.5
1.2,12,25,22.6,44.2
17,12,7.9,10.9,19
2,20.2,5.6,22,34
11.3,20,40,13,38.4
2,10,9.6,4.7,62.6
16,15,15.5,10.3,18.2
12.2,7,18,14,14.2
18,18,8,18.8,23.9
3.5,10.3,18,6.8,77
11.2,44.1,3.8,36,9
5,12,6,9.9,10.5
4.8,22.4,18.5,18.2,19
5,23,25.6,15,0.3
0.5,79,9,19.9,23
0.5,10.3,6.8,34.5,13
4.3,1.5,12.1,19.6,15.5
60,16.7,16.6,29.3,23
26.4,15,115,24.8,15.7
21.3,8,18,21.2,25
0.1,7,26,41.6,27
4.5,13.5,43.4,17,63
5,0.5,18.1,14.7,21
12.2,5,11,26,3
1,20,39.8,26,20.5
5,0.1,10.7,47.2,12.6
2.5,32.2,217,7,29.2
8,37.8,62,30,16.7
23.5,8.4,6,16,52
4.2,34,13.5,38.3,12
5,11.8,15.2,17.2,31
5.5,8,23.2,22.1,20.4
3.5,13.9,12,10,8.3
4.5,12,25.4,20.5,37.6
7.7,30,10,19,41.5
1,0.4,20.1,5,39
0.2,2.1,8.7,15.8,29.7
20.8,109.3,4,34.6,44.6
0.2,24.9,2.3,20.5,40.1
37,2.6,22,20,18
18.6,16,2,18,26
34.4,10.7,35,16.5,19
10.9,7,9.4,19.1,44
8,28.6,11,25,45
6,13.8,3.5,5.8,13
19.4,27,12,3.1,37.7
15.3,12,33.4,20.8,38
10.9,12.3,11.8,6,25
0.9,10,32,5.8,227
14.2,10.2,3.1,26.3,21.5
4,1.5,22,23,7.4
30.6,14.1,4.6,3,7
3.7,8.6,31.1,25.4,27.4
3.7,25,15,37,28.9
1,16.4,4.8,46.7,18
5.8,7.5,27,26.4,41.1
4,23.2,23.3,1.2,23.7
2,20.5,38.4,10.4,29.2
8,12,44.2,14,5
23.2,19.5,29,12.7,33
10,22,10.4,8.3,233
6,25.6,38.9,30,4
28.1,1.2,9.9,10.5,39.7
15,34.3,14.4,23.5,20
9.6,22.4,16.7,30,29.4
1,8,7.5,35.4,13.5
9.4,10.5,20.2,12,31.7
24.2,2,24.2,16.4,35
0.4,7.4,43.5,46.1,18
24,8.7,25,22,9
5,26.9,9.4,1.7,18
5.5,8,40.4,12.5,14
5.5,6,14.6,22,22
5,9.8,25.3,15.7,35
20.3,6,24,27.1,31.4
3,5,6,9,57
50,13.5,24.4,26,11.4
21.6,9.2,14,26.9,20.2
1,8,15.8,34.8,22
10,16,8.2,62.2,75.6
0.8,7.3,57.8,18,37
13,14.5,28.8,9.6,9
6.9,20.1,8.5,4.3,19.9
2.5,22.4,8,10,41
13.2,1.5,4,26.2,32
1.5,12.6,6.2,23.7,45.8
0,28.1,6.5,13.1,4.5
10,4.6,18,33.8,78.5
6.7,3,5,10.1,34.5
2,11,32,30,11.5
8.6,31,6,23.2,42.9
10.4,57,30.1,20,49.6
1,15,1.6,10,19.8
1,10,10,15,22.1
35,4,15,30.5,20
3.6,16,10.5,24,19.6
6.9,0.1,15.9,19.4,12
16.1,20,6,19.6,21.7
0.5,85.7,8.2,26.1,12
4,15.4,6.5,16.2,19.3
3.5,15,5,30.9,24
5,35,13,25,63
13.4,6.7,67,30,38.4
2,5,15,23,24
6.1,71,5,61.9,45.9
0,8.3,35.7,5.5,36
8,25.6,6,37,14
13,15,2,14.8,40
30,11,50,27,10.3
3,15,20,70,32.7
6.3,16.7,11.4,12.6,11.5
12.6,25.3,16,18.5,73.3
15,25.7,18.4,29,23
7.9,12,17.4,36.5,48.3
10.8,9,38.2,22,20
12,7,25,18,37
12.3,16,12,25,1
4,0.8,22.5,10,3.4
0,12,13,29.8,20.1
12,11.3,16.8,30,21.2
2.4,12,13.6,9.9,26
10,4.5,0.1,16.5,40
1.2,24.3,4,11,46.2
1.6,17.1,84.2,8.6,0.7
2,27.2,10.5,12.5,23
10,9,39.8,38,27
5.2,9,9.6,35,25
20.1,0,4.5,43,12.7
11,30,7.2,48.1,14
7.2,10,21.5,28,3.6
5,12,5,15,77.1
15,5,45.3,22,3.6
17,17.5,25.2,17.3,15.5
9,5.5,12,29.2,19.4
0,16.8,25,20,18.1
10.6,57.7,25,40.4,25.5
14,8,22,55.2,66.1
2.6,12,17.4,35,32.5
16,9,8.5,8,22.3
6.6,22,12.8,35,16.7
13.7,9.7,25.6,48,17
1,30,108,0.1,9.5
10,15,25,7.4,30
8,5,14.2,26,29
14,30,28.5,16.6,27
6,12.2,18,55.2,49.6
20.8,7.5,30,27.5,30
5.8,10,19.1,35.7,56
2,16,10,15,17.2
6,16.5,25,15,20
14.2,13,16,27.8,90
29.6,55,43.9,31.8,40
7,10,20.5,23.3,7.5
0.5,3,9.5,6.8,21.3
8.4,108.5,22.1,31,24
12.6,12.4,4,21.2,10.5
4.4,10,6.5,33,25
18.9,1.5,6,53.2,41.5
6,17.6,4.5,15,41.8
14.6,20,7,43,10
1.9,44.8,26,145.4,24.5
0.4,16.8,13,22,9.8
9.6,16.5,63,15.9,44.5
20,10.2,14.2,4.7,9.7
25,16.5,22.8,25,40
12,28.7,7.8,29.7,21
3,20,25,48.9,6.7
18,11.8,25,11,7.5
5,3.9,52,7.6,4
18,2.5,11.2,37.1,16.9
5,13.2,8,180.1,25.9
42.5,10.3,8.9,0.7,6.5
13.2,6,7.4,19.9,26
1.2,18,13.7,20,24
0.3,25,10,29.8,4.4
22.8,12,30,32.7,76.6
3.1,28.4,50,28.8,12
1.5,12,23.3,8,28.3
24,6,10,30.6,78.9
5,12.8,40.2,31,66
9,14,35.1,37.8,72
28.3,55,13.7,32.2,35
5.5,10,9.6,50.5,7.5
4.7,8.7,16,19,13.8
1.2,11.5,10.4,10.2,40.7
44,10.5,6,12,22.8
22.7,10,20,27.4,15
17.1,0.5,30.1,22.2,25.4
20,8.7,55.3,20.6,20.5
2.2,7.5,6.1,19.1,35
5.3,1.9,52.3,2,2.5
15,0.5,11,14,16
5,28,32.7,14,41.4
12,6.3,5,26,0.3
17.3,33.2,10,12,31
12,7.5,13,7.8,83.2
4,20,17,13,15
3,4,17,160.2,10
4,9.5,23.1,31,28.6
11.2,10,6.5,37.4,20
2.5,13.8,29,20,41.9
13.5,22,0,13,38
4.6,8,25,21,15
8,3,37.4,20.9,12.5
5,5,8,34,34.1
1.2,23,8.2,48.6,17
1.5,4.4,15,7.8,6
17,15,2,14,6
9.5,3.2,17,16,15
2,0.9,7,16,10
2,14.5,17,29.8,32
3,6.5,10.8,25.5,46.7
17.2,8,8,8.6,18
16.1,7.5,26,24,13
11,21,12.5,19.5,33.8
4.6,1.1,12.1,12,5.8
1.2,5.5,3.6,1.2,19
26.7,3.8,32,51.9,14
8,2,7.9,28.7,10
5,8.6,10,12,28
24.8,5.5,11,14.8,46.6
36,21,7,18.3,22.4
7.8,12.6,32.9,76,42
12,11,5,16.2,10
30,6,16.6,18.2,22.6
6,9,9,15.7,10.8
3,1.5,13.1,22,64
7,20.2,11.5,25.5,32.1
36.1,13.1,15,50.5,31
4.5,19,6,35.8,49.4
0,11,17,14.3,7.5
1.3,12.7,21,25.5,13
10,38,17,3,21.6
9.1,17,20.6,8.4,38.2
3.9,17.4,35,14.3,49
3,2.8,14,35,3
7.5,26.5,6,46.5,25
10,1.4,26.6,54.1,29
5.2,16,10,20,28.7
3.5,10,7,30.3,36.4
1.3,50,5,24.3,26.6
2,15.7,15,32.3,42
6.5,8.1,15.8,23.4,15
1,13,12.5,29.1,52.7
23.3,14.5,30.6,15,1.5
3,1.8,13.5,15.6,20.3
5.5,6.8,10,20,21
0.9,42,8,13,24.2
30.4,23.5,12.5,15,19.5
15.9,5,20.5,19.9,23
10.1,0.2,5.1,10,47.7
4.1,4.5,10,36.2,11.1
5,12,29.2,11.2,20
14.7,33,23.7,30.8,21.7
5,18.2,35.9,10,19
0,4.6,14.8,18,22.4
2.9,22.5,6.4,37.1,53.4
12,6,39,25,23
6,12,1,49.7,57.1
29.4,0.1,24,15.3,24.7
50,15,61.6,14.7,52
2,12,5,14.5,12.2
0.6,13,33.1,67.1,33
5,2.2,11,91.5,33.4
8.6,4.5,5,15.5,25
4.7,6.5,3.8,15.8,10
20.4,6.5,37.5,24,34.7
10.9,18,20,20.4,9.7
15.2,13.5,3,19,31
6,37,15.5,72,18.5
6.7,23,20.4,17.2,41
23.3,9,7.7,17.6,31.4
1.1,4,14,27,13.8
5,1,13.5,36,13
2,10,11.2,44.2,1.2
8,9,16.2,19.5,18.5
7.2,7.6,20,27,6
3,13,20,37.6,15
22,2.2,21,19,74
10.6,22,7.5,20,17.3
40,37.9,16.2,32,3.5
20,8.2,20,25.1,10.7
8.5,9.5,13.7,29.9,3
8.8,10,15.7,55,8.5
2.5,20,30,22,32
10.5,9.8,4.8,76,40
19.7,21,26.3,37.2,45.1
19,4,76,23.5,10
1.2,24,3,27,21.3
45,26.6,5,50.8,40.4
11.3,14,8.9,4.5,27
2.9,109.5,7,22.3,64.5
41.5,15,10.9,8,61
63.4,24.2,4,2.1,19
1.2,12.5,14,8.7,7
2.5,4.6,22,22.7,12
8.1,10,12.5,23,19.4
1,13,22,29.1,3.2
19.6,91.8,36.2,35.5,33
7.4,14.5,9.1,22.1,8
3.2,22,11,14.5,28
7,2.5,21.6,16,4
10,7.8,7.7,37.5,1.2
21.3,16.5,26,36.3,43.7
0.8,16.5,35,59,19.9
14.5,17.5,13,20,8
0.5,7.8,8,20.3,12
1.2,39,43,15,12
2,7.3,26,16,56.2
1.5,12,10,1,9
15,13,23,40,27
1,8.1,13.5,15,52
3.5,3.5,33,57,33.8
10.4,17.5,15,42.8,14.5
5.5,9.1,12.5,22.6,40
8.9,30,21.4,6,24
7.9,40.2,13,26,10.1
1.5,24.8,12.3,54.5,9.9
0.2,7,25.5,33,17.6
10,12,13.8,42,30.6
5,5,34.4,18,68
22,8.7,25,15,11
3.8,10.7,10.5,24.2,5.7
10.8,31,29.8,32,14.5
5.9,2,25,16,23
13.4,4.5,2,15,18.1
139.8,2.5,21.1,18,8.8
15.1,16,1,44,22.5
14.3,24.1,21.5,8,2
15.2,14.6,26,10.2,9.8
39.5,9,20,45.6,8
3,34.5,36,21.3,14
5.1,9.6,20.4,12.4,39.9
5,15,12,29.2,10
34.7,4,8,15,30.3
17,1.3,12,43,3.2
2.4,39.6,24,8,7
3.6,7,12,16.6,24
200,43.2,12.1,42.6,26.5
70,21.6,5,7.4,30.6
7.8,15,33.6,26.5,27.8
10.2,8.3,1.5,1.5,18.5
0.5,26,11.2,18.8,9.4
12,4.5,28.6,37,42
6,16.7,8.5,91.4,58.2
7,17.4,8,28.3,24
3,41.7,12,23.9,12.7
25.9,42,7.5,12,13
5,17,25.8,11,11
3.4,10.5,25.3,36.5,36.8
1.5,5,11.6,41.4,8.8
0.3,0,10,6.5,47
24,18.8,13.3,10,15.7
27,3.7,20.6,24.3,26
19.7,9.2,15,39,24.5
3,13,18,15.2,27.8
31.9,8,19,14,36
3,3.5,21.8,28.1,2
4.2,36,40,30,31.7
25,11.9,13.7,25,18
1,25.4,10,89,21
2,28,51,33.5,21
1,6.9,6.6,8,15
8.6,8.5,21.8,24,37.2
6.9,14,49.4,28.6,24.5
10.5,8.6,34.3,15.4,2.2
25,8,25.8,84.8,27.9
9.6,22.3,34,37.5,30
2,15,14,48,10
5.5,2,18.8,23.7,19.5
1.2,16,7,39.5,15
10.3,6.3,9.4,22,38.8
7,6.5,80.9,12,20.9
6.1,12.2,31.1,55.5,22
5,5,33.4,12.4,32.2
0.5,12.4,21.9,15.5,22
4,15.9,16,9,0.3
43.1,10,19.1,22.5,10
0,12,14,37.7,20
60,9.6,15.6,26.5,23.2
3,2,33,40.8,9.6
9.9,19.5,25.2,21.5,0.6
13,9.4,28,11.1,2.5
7.5,10,11.5,10,2
18,16,10.5,26.7,23.2
16,4.5,7.2,22.4,21.6
19.4,10,6,22.5,52.2
12.3,8.1,13.2,16.2,22
11,0.8,10.7,14,2.1
6.5,3,12.1,22.7,27
7,23.6,10,15,11.3
8,22.3,12,15,25.8
7,3.9,20,40,9.4
15,4.8,7,28,38
26.4,4,18.8,30,6
0.2,4.7,34,34.1,10
27.8,6,28,16.2,58
67,5,5,20,20.5
5.1,50.5,17,24,10.5
0.5,25,5.8,21,10
13.2,1,15,3.5,10.5
7.7,35.7,17.1,37,26.5
0.6,14.8,23,27,20
0.5,3,34.3,23,10
0.1,14,35,16.5,33
0,17.3,15.5,33,23
2.3,6.8,37.4,20.1,7
23,10.9,2.5,9.8,12
17.2,2.4,53.9,36,17.5
34.9,23.4,11.8,13,25
5.7,10,11,37,25
20,9.1,23.1,5,48
4.6,9.3,19.6,21,30
2,26.8,33.1,32.4,22
12,2,19.1,20,93.4
8.5,15.9,12,43,22
3.7,11,41.2,18,14.6
0.3,17.2,30,16,11.6
7,12.5,27.8,16.6,18
2,6,27.8,42.9,20.5
8,32,15.8,32.8,35.7
22.7,9.2,18,67.6,39
2.8,1,7,14,16.5
14.5,24.2,14.4,50.6,20
1,14,7.5,18,56
7.5,9,19.7,36.2,8.8
5.4,6,54.4,25.2,3
8,10,17,37.2,18
2.5,7,17.3,63.5,23.1
60,7.9,28,8.6,39
6.8,4.9,15.7,48.8,32
5.7,30,18.8,16.1,17
7,22.5,10,23.3,39.3
5,8.2,3.4,18,31.4
28.9,12,10,9.9,26
25,0.6,20.6,20,57.7
3.5,23.5,6.3,8,23.2
8.1,10,21.2,6,17
1.8,3.9,15.5,11,20.3
3.4,7,15,27.5,49
2,6,15,29.9,26.7
4.8,4.5,18.5,50,43.8
8.1,5,27,41.7,21
1.5,20,13.3,14,31.2
11.9,11,8,19.6,55
5,15,21,25.8,37.5
4.7,31.2,13,21.4,20.5
8,2.2,7.5,15.8,21
0.3,11,35.8,25,10.1
8,263,21.2,50.4,12
4,1.9,33.3,4.2,12.5
1.9,22,30.3,20,20.8
4.6,17,69.2,22.8,25
2.1,17.8,10,21.8,27.2
0,10.8,38.8,13.3,30
47.7,19.5,5.6,13.8,26.2
5,0.3,8.6,18.5,37.5
1.2,30,11.6,48.7,84.2
5,9.9,17.8,80,12
8.4,7,3.7,4.5,11.5
7,33.6,11,16.7,24.9
0.7,11.7,16.5,29.7,14.4
5,15.1,50.6,49.5,24
11,7,20.7,15,14
5,6.5,5.9,47.5,25.8
2,16.7,7,15.6,26.5
1.2,10,25.8,22.5,26
4.8,5,19,14,46.6
4,13,10,44.7,27.9
9.1,20.5,14,8,13.9
2,8,90.5,12,27.5
6.5,16.1,42.9,35.9,22.7
7.9,2,15.5,30,74
12.6,33,8.4,115.3,40.7
19.5,21,16.2,40.5,2.2
23,1.3,7.8,6,5
1.1,22.3,6.9,17,33
6,10.3,18.8,53.9,31.2
9.2,17.1,14,39.4,29
23,15,15,18,10.7
0.5,26,19.2,17,10
15.8,1,25,23,17
57,12,8.8,17.3,28.2
20.2,24,6.5,60,55
2,4.8,20,3.9,9.8
15.8,5.9,13.2,25,60.5
10.5,37.4,20,16,13
4.6,5.4,36.6,25,9.5
16.1,3.8,41.7,18.2,22.4
1.5,5,12,17,6.8
20,0.3,38.8,11.6,18.5
4,7.7,20,0.3,26.7
10.5,25,15,16.5,19.5
7,12,20.7,21.8,18
12.8,26.8,11,39.3,21
11.5,5.7,21.3,74.7,9.1
1.3,9.4,19.8,14,51.9
2,6.5,7.7,9.7,220.5
22.7,20,9,10.8,64.5
10.3,4,22.1,8,22.9
25,6.1,11.6,63,6
3,4.4,15.1,25.4,16.6
1.5,30.7,50,31,18
1,30,1,9.9,7
3.5,11,12,13,34
23.8,25.1,21,25,13.9
1.2,5.5,17.5,10,29.6
19.3,12.5,19.8,20.5,40
0.6,27.8,1.5,20.5,8
7.2,10,47,24.2,14.8
12,10,7.6,15,19
5.1,34.5,12,28.1,22.7
2.4,26,27.7,36,5.9
10,19.5,35,15,54
2.1,1,16,17,7
6,12,18,23.2,19
7.2,6,7,42.2,33.1
10,10,13.1,29.2,17
0.5,41.2,14.1,30,22
6,27.2,8,12.8,8.4
9.5,5.5,11.8,27.8,43.3
15,8,22,43,22
17,7,24,13.6,48.9
200,1.3,9.5,9.7,11
1,13.7,69.6,9,42.8
0,4.8,34,80,15
0.4,22.3,29.3,24.4,14.4
13.5,70,7,22,14
10.8,11.5,26.2,32.8,6.5
0.8,5.8,21.6,3,12.8
20.4,13.2,5.7,64.6,26
4,15.5,6.7,8.2,15
3,14,5,21,52
12,35,27,15.4,13.2
1,34.2,20,18,21.2
45,6.4,24.8,23,13
18.9,6.3,14,17.1,26.7
0,6,6,25,18.1
44.7,1.8,51,11.1,1
5,18.3,28,18,3
5,1.9,13.1,20,16.3
17.2,26.2,26,83.1,3.8
38.4,5.4,6.5,20.1,49.5
10,7.8,12,42.8,23.5
12,11,30,36,15
14.4,17.7,21.4,95,29.5
40,10,3,5,35.4
1.6,20.6,20.2,13.8,21.8
2.5,23.5,44.2,10,8
18.4,19,22.5,6,13.6
17,29,26.3,34.5,8
11.9,1.5,14.5,16.1,39
1,11,17.1,10,50.5
2.7,13.1,30,39.5,23.3
15,27.1,12,60.1,45.7
20,13.5,63,40,50.4
6.3,8,21,20,18.6
10,14.2,18.5,20.7,25
2,4.1,6.7,23.3,19.8
12.9,5,23.1,25.8,27
19.3,50.8,12.1,23.8,22.6
10.5,16.4,33.4,15.1,29.3
0.7,23.3,20,27.5,28.5
14.3,20.2,20,20.5,27
3,20.7,48.8,12.1,25.4
9.6,6,7.5,20,19
5.5,19,10,12.8,8.3
7.1,5,12,19.9,19.5
13,4.2,12.3,1.9,26.9
1.5,20,33.2,11,19.1
9,11.4,3.6,12.6,13.5
5.6,7,18.6,24.6,35.7
0.3,18,25,37.1,89
4.9,3,31.9,23,18.5
10.1,5.5,1,33.9,8
1,3.6,36,44,35.6
7.9,11.5,17,14.3,18.2
5.5,13.5,38.6,18.5,25
2.9,10.4,16,8.1,40
18.2,31.9,23.3,42,8.6
3.8,2,7.2,35.4,3.9
3,33.8,5.5,20,75.4
11.9,13,24.6,20,29.5
16,4,39,16,23
18,11.2,21,46,29.4
1.9,11,30.5,66.3,16.3
6.2,9,25,11.5,9.5
30,10.1,25.3,78,31.9
28.1,3,18.4,9.7,80
15,61.9,26.5,18,211.6
17,20.5,21,4,95.3
6,6,6.5,12,21.1
30,30.5,10.5,43.1,60
8.4,34,24,18.6,23
12,3.7,24,24.7,12
1.6,3,18.6,18,28.6
9.6,3,9.8,18.9,13.7
4.9,10,24,17,35.8
7.9,40.8,10,22.4,46.8
6,10,20,23,14.4
0.4,9,12.2,16,8
15,9,3.9,21.6,46.7
1.4,24,80,22,2.6
1,12,27.2,16.5,3.4
30.2,16,14.2,27,58.8
20,19.7,23,15.5,3.5
7.7,4.5,41.1,36.3,21
2.2,0.6,15,20.7,12
11.5,47.5,20,32,52.3
56,12,25.4,12,6
8.1,12,53,16.5,6
1.8,8.4,10,5.7,24
7,1,38,13.5,12
11.1,7.5,13.5,20,11.2
7.6,20,9,25,5.7
1.2,15,11.8,29.4,31
17,8,12,29.5,14
5,5.1,12.4,7.8,13.5
17.5,12.5,21.9,18,28
36.3,85.3,22.8,10,15
2.2,13.6,5.4,34.1,35
18.3,3.4,25,40,48.9
1.2,24,27.9,12.5,32.1
13.2,70,21.9,42.7,40
8.9,7,38.6,15,23.7
0.1,3,7.5,11.2,7.3
12,12,1.5,20,48.6
8,25,12,128.4,13
28.5,10,25,27.8,1.7
2,5,26,19,66
10,1.5,13.8,61.5,31.1
3,10.5,38.5,27,20
4.7,4,19,12,41.3
12,12,18.7,26,32.4
15.3,16.5,21.2,38,5
2,8,10,25,1.6
15.2,22,11.3,150,18
1,10.8,18,31.2,8.7
2.5,21,2.9,27.2,41.4
7,4.1,11.2,14,18.1
0.2,4.2,20.3,20,14
10.1,16,7.9,10.5,29
8,9,8.9,12.5,43.3
12.5,8,9,12.1,8.5
23.9,9,30,7.5,30
2.5,6.5,44.3,40,57
28.5,16.6,22.8,9,51.1
31.6,4.7,14,36.1,35
1,0.3,92.3,20,11
7.5,13,8.9,9.7,12.5
29.8,16,35.1,17.3,42
38,5,20,8,14.5
2.5,9,23.4,24.5,42.4
16,12,22.9,4.3,20
2.4,3.5,12.3,15.4,13
5.5,38.2,7,21,2.6
9,6.4,8,11,64.9
13.5,21.1,15.5,73.3,71
1.5,18,14,16.2,49.1
75,47,32.3,50.8,24
2.2,4.1,9.2,5.5,6.9
5,3.5,3,9,29.2
6,12,12,37.4,12.8
2.3,4.1,27.9,35,28
1,105,11,67,4.9
1.2,22.3,6,33.6,19
7.9,1.3,20.4,30.8,39
6.1,16.5,15.4,54,6.8
23.1,12,63.6,17,22.3
40.8,4,17.5,31.5,24
2.5,4,4,39.6,21
6,5,12,12,29.4
200,29.5,25,20,22.5
12,14.8,21.9,37,12.1
26.1,10,34,12.7,6.1
41,8.2,17,26.8,30.8
5.7,20,15,10,11
5,3,5.3,14.4,49
7.4,9,4.3,6.4,14
1.4,6.1,6.6,261.5,9.2
1.1,5,6,1.6,8
24,6,25.4,28.5,19.2
27.2,19,29.6,6.5,10
5,9,41.3,42,20
17.3,10,13,10.5,13.1
2,13.3,11.3,26.6,32
1.3,9,9,15.6,78.5
0.2,4.6,20.2,16.5,25.4
8,6,12,25,38.8
2.5,23.7,6.8,12.4,26.4
5.6,7,23.4,11.4,36.7
37.5,12,24,21.5,14.9
29.3,32.9,19.5,27,35.7
6.3,29.8,17.1,104.6,60
5,13.1,17.1,6,18.2
35,10,48.1,10.2,40.7
5,19.2,74.6,10,24.5
4,12,41.4,28.8,20.2
11.1,10,8,11,22.5
12,7.5,10,16.7,41.5
4.4,8,48,15.9,21.4
13.5,22.4,12.4,10.6,21.1
16.6,6,34,29,3.5
0.5,5.5,37.4,20,23
8.5,28.5,12.5,12.6,20.6
12,6,12.5,28,7.5
28,20,12,15,26
3,1.7,4.1,25.1,26.6
2.5,8,21,16.8,31.4
23.8,8,4,110,31.5
10.8,104.5,17.6,24,22
17,1,5,38,25.5
10.9,30,9.9,18,0.6
0.3,30,11,31,37
7.4,5,14.2,32,20.5
6,10,5,9,39.8
64,6,27.2,18.1,7.5
24.4,19.4,8.7,28.1,58.1
13.7,33.5,5,30.6,26
6.7,9.5,3.3,10,15
1.2,11.5,7,30.7,27
10,12,10,13,36.8
38.3,2.4,27.5,8.7,17
10,8.5,8,16.2,23.6
1,17.6,16.7,17,37.2
56.5,26.4,20.8,20,35
9.5,11.5,21.4,43,34.6
0.5,19.1,4,24,8
1.1,20,4.4,27.8,24.1
12,39.3,3,10,25
7.3,26.4,215,10,2
9.6,20,15,39.5,43.4
1.5,7,12,13,103
30,38.9,11.5,33,15
42.2,21,36.2,15,49.2
0.4,8,2,17,10.2
18,20,13.7,42.5,65.8
5,10,0.6,24.5,10.2
