MARKAL-NETL,REGEN-EPRI,IPM-NRDC,Haiku-RFF,NEMS-RHG,ReEDS-NREL,RIO-REPEAT,EPS-EI,GCAM-CGS
36.95188859,69.8951976,70.92808567,139.3762166,181.1155525,229.7584713,238.5834018,257.9748756,280.9878538
35.69881574,67.52498656,68.52284844,134.6498397,174.973756,221.9671482,230.4928171,249.2267081,271.4592948
35.03489682,66.26917133,67.24847518,132.1456508,171.7196316,217.8390508,226.2061611,244.5916432,266.410753
13.73201028,25.9743577,26.35819815,51.7947989,67.30591381,85.38252873,88.66203732,95.8682703,104.4203218
22.07703302,41.75912637,42.3762289,83.27080028,108.2081102,137.2699894,142.5424745,154.1279773,167.8771603
24.62652018,46.58152965,47.26989606,92.88703068,120.7041366,153.122123,159.0034821,171.9268953,187.2638535
19.58938408,37.05369125,37.60125842,73.8878131,96.01517692,121.8023519,126.4807313,136.760775,148.9606946
11.55618646,21.85874571,22.18176701,43.58796285,56.64135653,71.85374921,74.61362282,80.67803512,87.87502226
23.80410437,45.02591457,45.69129261,89.78501864,116.6731574,148.0085278,153.6934758,166.1853047,181.010077
27.26704548,51.57613331,52.33830831,102.8466414,133.6463763,169.5403111,176.0522862,190.3613843,207.3428147
23.02780985,43.55753878,44.20121765,86.85696823,112.8682366,143.1817044,148.6812561,160.765704,175.1070139
7.160977721,13.54512508,13.74529045,27.00998568,35.09873205,44.52533705,46.23553734,49.99344844,54.45317784
19.65028555,37.16888755,37.71815705,74.11752307,96.3136787,122.1810235,126.8739475,137.1859508,149.4237988
13.60676549,25.73745481,26.11779438,51.32239693,66.69204047,84.60378501,87.85338236,94.99388985,103.4679411
20.97312359,39.67106076,40.25730655,79.10704234,102.7974215,130.4061307,135.4149778,146.4211751,159.482863
7.652152174,14.47419087,14.68808566,28.86261188,37.50616874,47.57934851,49.40685216,53.42251995,58.18814406
13.69970398,25.91324972,26.29618714,51.67294506,67.1475681,85.18165549,88.45344862,95.64272802,104.1746597
35.77240621,67.66418432,68.66410321,134.9274103,175.3344514,222.4247171,230.967961,249.7404705,272.0188881
15.70297355,29.70247209,30.14140537,59.22893595,76.96637004,97.63753182,101.3877501,109.6282979,119.4078302
29.07386647,54.99376945,55.80644915,109.6616618,142.5023074,180.7747146,187.7181987,202.9754736,221.0821599
33.68248244,63.71105391,64.65255475,127.0445746,165.0909236,209.4300446,217.4741684,235.1499355,256.1267858
28.27095967,53.47505603,54.26529269,106.6332344,138.5669495,175.7824221,182.5341542,197.3700827,214.9767329
24.23076085,45.83294339,46.51024744,91.39429407,118.7643665,150.6613812,156.4482242,169.1639523,184.2544386
7.795764312,14.74583595,14.96374502,29.40429235,38.21006759,48.47229625,50.33409766,54.42512969,59.28019288
19.51341247,36.90998952,37.45543312,73.60126117,95.64281059,121.3299777,125.9902134,136.230389,148.3829948
29.72637846,56.22800825,57.05892712,112.1228256,145.7005221,184.8318863,191.9312047,207.5309024,226.0439616
38.43428243,72.69917365,73.77349795,144.9675531,188.3813403,238.9756603,248.1546194,268.3240183,292.260205
28.49303907,53.89512341,54.69156769,107.47088,139.6554469,177.1632614,183.968031,198.9205015,216.6654588
23.11357543,43.71976598,44.36584219,87.18046133,113.288607,143.7149753,149.2350097,161.3644653,175.7591885
12.78122564,24.17593053,24.53319442,48.20860151,62.64574914,79.47076524,82.52320537,89.23048914,97.19040887
11.21703238,21.21722934,21.53077052,42.30873154,54.9790307,69.74496597,72.42384206,78.31027435,85.29604237
38.85811103,73.50085347,74.58702473,146.5661622,190.4586888,241.6109305,250.8911092,271.2829233,295.4830629
29.72567398,56.22667572,57.0575749,112.1201685,145.6970692,184.8275061,191.9266562,207.5259842,226.0386047
24.03058802,45.45431269,46.12602146,90.63927633,117.7832418,149.4167519,155.1557892,167.7664713,182.7322936
24.38570968,46.12603203,46.80766725,91.9787346,119.5238309,151.6248179,157.4486661,170.2457076,185.4326934
33.87064859,64.06697374,65.01373424,127.7543052,166.013199,210.600019,218.6890811,236.4635933,257.5576301
26.29328256,49.73424229,50.46919844,99.17377391,128.8735862,163.4856739,169.7650928,183.5631833,199.9381715
21.27970153,40.25095875,40.84577408,80.26340201,104.300079,132.3123629,137.3944275,148.5615097,161.8141289
35.25194249,66.67971734,67.6650881,132.96431,172.7834567,219.1885916,227.6075372,246.1069197,268.0612018
26.96159863,50.9983748,51.75201188,101.694548,132.1492627,167.6411117,174.0801394,188.2289463,205.0201498
37.54108941,71.00968213,72.05903967,141.5985815,184.0034545,233.4219885,242.3876332,262.0883057,285.4682276
9.012262185,17.04686473,17.29877765,33.99271469,44.17259597,56.03620441,58.18853249,62.91795372,68.53063013
15.92600996,30.12434968,30.56951733,60.07019121,78.05955807,99.02432167,102.827806,111.185398,121.1038334
6.961270165,13.16737445,13.36195755,26.25672287,34.11988778,43.28360071,44.94610641,48.59921572,52.93457082
12.99296341,24.57643655,24.93961898,49.00724027,63.6835582,80.78730277,83.89031058,90.70870932,98.80049556
25.08570536,47.45008713,48.15128879,94.61899883,122.9547815,155.9772324,161.9682552,175.1326378,190.7555684
20.04352418,37.91270586,38.47296726,75.60075203,98.24109386,124.6260922,129.4129303,139.9312959,152.4140458
27.95313128,52.87387759,53.65523023,105.4344399,137.0091492,173.8062371,180.4820648,195.1512044,212.5599168
39.41333924,74.55107816,75.65276929,148.6603883,193.1800778,245.0632138,254.4759932,275.159178,299.7051038
36.2179966,68.507027,69.51940114,136.6081013,177.5184629,225.1952972,233.844958,252.8513027,275.4072261
13.86647013,26.22869105,26.61628995,52.3019585,67.96495373,86.2185696,89.53019019,96.80698451,105.4427752
0.741867531,1.403256495,1.423993355,2.7981977,3.636180799,4.612764227,4.789938646,5.179253114,5.641275001
8.761022517,16.57164013,16.81653034,33.04508154,42.94117281,54.47405308,56.56637955,61.16395617,66.62016498
17.96209191,33.97563727,34.47771798,67.74994479,88.0391862,111.6842179,115.9739638,125.4000432,136.5865142
29.83545999,56.43433803,57.26830597,112.5342626,146.235173,185.5101306,192.6355001,208.2924411,226.8734343
26.74218398,50.58334783,51.33085178,100.8669534,131.0738263,166.2768412,172.6634678,186.697131,203.351687
43.30328329,81.90898106,83.11940484,163.3325933,212.2462039,269.2500046,279.5917889,302.3163239,329.2848377
27.05417326,51.17348146,51.92970621,102.0437237,132.6030069,168.2167198,174.6778564,188.8752442,205.7241015
-1.638144215,-3.09858083,-3.144370631,-6.178800371,-8.029180807,-10.18560959,-10.57683475,-11.43649395,-12.45670099
11.40598091,21.57462907,21.89345179,43.02141316,55.90514082,70.91980514,73.64380633,79.62939432,86.73283613
18.18152348,34.39069625,34.89891056,68.57760322,89.11470552,113.0485937,117.3907447,126.9319766,138.2551057
11.82560363,22.36835339,22.69890551,44.60415842,57.96187467,73.52892411,76.35314052,82.55893655,89.92371191
54.67238835,103.4138588,104.9420745,206.214917,267.9706018,339.940524,352.9975028,381.6882742,415.7372641
46.24637251,87.47589009,88.7685798,174.4334235,226.6714268,287.5494665,298.5941259,322.8631242,351.6645415
37.85392513,71.60141682,72.65951883,142.7785444,185.5367838,235.3671301,244.407487,264.2723282,287.8470787
31.94104167,60.41708568,61.30990935,120.4761573,156.5554463,198.6021604,206.2303895,222.9922899,242.8846018
32.46006032,61.39881929,62.3061507,122.433807,159.0993582,201.8293008,209.581483,226.6157521,246.8312996
18.95140453,35.84694085,36.37667506,71.48146314,92.88819146,117.8355397,122.3615553,132.3068025,144.1093998
16.09851604,30.45064819,30.90063778,60.72085469,78.90507732,100.0969254,103.941608,112.389727,122.4155962
13.60521504,25.73452211,26.11481835,51.31654892,66.68444115,84.5941447,87.84337178,94.98306563,103.4561513
25.3919829,48.0294169,48.7391797,95.77422543,124.4559666,157.8815968,163.9457654,177.2708752,193.08455
8.319422087,15.73634455,15.96889104,31.3794401,40.77671766,51.72828166,53.71514415,58.08097935,63.26216728
15.95083021,30.17129766,30.6171591,60.16380897,78.18121177,99.17864839,102.9880604,111.3586774,121.2925704
8.131746867,15.38135332,15.60865386,30.6715612,39.85684854,50.56135966,52.50340115,56.77074885,61.83505599
80.43299982,152.1405436,154.3888261,303.3795465,394.2333602,500.1141697,519.3233538,561.5326825,611.6249225
39.13015336,74.01542671,75.10920215,147.5922595,191.7920739,243.3024281,252.6475765,273.182152,297.5517148
11.92866796,22.56330152,22.89673452,44.99289948,58.46703296,74.16975476,77.01858521,83.27846696,90.70742895
22.289208,42.16045937,42.78349266,84.0710881,109.2480622,138.5892454,143.9124026,155.6092498,169.4905716
27.2846574,51.60944659,52.37211389,102.9130706,133.7326992,169.649818,176.1659993,190.4843397,207.4767385
46.87885254,88.67223805,89.982607,176.8190302,229.771457,291.482084,302.6777936,327.2787025,356.4740171
17.52183303,33.14287925,33.63265374,66.08936343,85.88130649,108.9467879,113.1313902,122.3264322,133.2387178
35.55509059,67.25312772,68.24697215,134.1077329,174.2693032,221.0734978,229.5648419,248.2233094,270.3663866
22.90031271,43.31637551,43.95649055,86.37607076,112.2433236,142.388956,147.8580586,159.875599,174.137506
40.28633315,76.2023627,77.32845596,151.9531723,197.4589599,250.4912921,260.1125619,281.2538731,306.343484
20.33325445,38.46073617,39.02909618,76.69356518,99.66117444,126.4275694,131.2836015,141.9540107,154.6171995
16.54787592,31.30062094,31.76317114,62.41576348,81.1075646,102.8909433,106.8429431,115.5268755,125.832598
17.97468252,33.99945266,34.50188531,67.79743444,88.1008977,111.7625035,116.0552563,125.487943,136.6822552
58.25395699,110.1884637,111.8167923,219.7239826,285.5252602,362.2099063,376.1222431,406.6925368,442.9720638
19.58071822,37.03729963,37.58462457,73.85512698,95.97270221,121.7484696,126.4247794,136.7002755,148.8947981
21.12362836,39.95574339,40.54619613,79.67472066,103.5351038,131.3419353,136.3867262,147.4719049,160.6273245
42.37020954,80.14405438,81.32839665,159.8131984,207.6728471,263.4483634,273.5673091,295.8021891,322.1896011
85.8006059,162.2934722,164.6917914,323.6252404,420.5420815,533.4887282,553.9798157,599.0059366,652.4410261
13.51534182,25.5645252,25.94230928,50.97756246,66.24393757,84.03533334,87.2630967,94.35562722,102.7727414
14.79882704,27.99226182,28.40592219,55.81864963,72.53479694,92.01575364,95.55004174,103.3161148,112.5325608
43.85551288,82.95353379,84.17939362,165.415509,214.9528955,272.683643,283.1573121,306.171644,333.4840765
40.37347848,76.36719972,77.49572889,152.2818696,197.886093,251.033142,260.675224,281.862267,307.0061505
57.33644945,108.4529808,110.055663,216.2633008,281.0281996,356.5050523,370.198268,400.2870754,435.9951951
22.01782457,41.64713247,42.26257999,83.04747612,107.9179066,136.9018447,142.1601895,153.7146211,167.4269302
46.14927321,87.29222493,88.5822005,174.0671815,226.1955054,286.9457251,297.967195,322.1852379,350.9261835
17.67832977,33.43889581,33.93304473,66.67964243,86.64835778,109.9198492,114.1418264,123.4189942,134.4287432
43.38086675,82.05573164,83.26832404,163.6252248,212.6264705,269.7324009,280.0927139,302.8579629,329.8747942
27.07146124,51.20618201,51.96289,102.1089311,132.687742,168.3242126,174.7894779,188.995938,205.855562
39.34899423,74.42936836,75.5292609,148.4176899,192.8646979,244.6631311,254.0605435,274.7099615,299.2158144
12.99949184,24.58878519,24.95215011,49.03186439,63.71555655,80.82789505,83.93246199,90.75428669,98.85013872
15.06619963,28.49800214,28.91913617,56.8271334,73.84529381,93.67821583,97.27635842,105.1827423,114.5657031
56.2255437,106.3516815,107.9233114,212.0731539,275.5832192,349.5976921,363.0255988,392.5314293,427.5476967
